date,units_sold,revenue
2025-05-06,1987.0,8019972.49
2025-05-07,1960.0,7522790.569999999
2025-05-08,1951.0,7566520.63
2025-05-09,2378.0,9346433.68
2025-05-10,2419.0,9383255.99
2025-05-11,1962.0,7788138.07
2025-05-12,1830.0,7203011.78
2025-05-13,2019.0,8031373.19
2025-05-14,1995.0,7777923.23
2025-05-15,1936.0,7502239.11
2025-05-16,2238.0,8763376.66
2025-05-17,2249.0,8858513.47
2025-05-18,1979.0,7857758.31
2025-05-19,1724.0,6583318.95
2025-05-20,1955.0,7857994.63
2025-05-21,1947.0,8021294.56
2025-05-22,1912.0,7516106.38
2025-05-23,2242.0,8879611.46
2025-05-24,2208.0,8757412.85
2025-05-25,2040.0,8226623.88
2025-05-26,1874.0,7330175.03
2025-05-27,1998.0,7720782.83
2025-05-28,2154.0,8551857.09
2025-05-29,1962.0,7825796.74
2025-05-30,2279.0,8978372.85
2025-05-31,2370.0,9222207.8
2025-06-01,2211.0,8568879.88
2025-06-02,2070.0,8033797.87
2025-06-03,2253.0,8949775.31
2025-06-04,2140.0,8611790.2
2025-06-05,2338.0,9500204.49
2025-06-06,2661.0,10626333.67
2025-06-07,2604.0,10325743.15
2025-06-08,2249.0,8967817.56
2025-06-09,2047.0,8008896.17
2025-06-10,3191.0,11574923.18
2025-06-11,3125.0,11397216.370000001
2025-06-12,3035.0,10732620.25
2025-06-13,3284.0,11869601.09
2025-06-14,3463.0,12278394.77
2025-06-15,2989.0,10654948.21
2025-06-16,2493.0,9477937.48
2025-06-17,3100.0,11225222.44
2025-06-18,2997.0,11573677.7
2025-06-19,2875.0,10674504.18
2025-06-20,3532.0,12913455.69
2025-06-21,2736.0,10962790.58
2025-06-22,2107.0,8442792.24
2025-06-23,2174.0,8423869.98
2025-06-24,2306.0,8966476.04
2025-06-25,2317.0,8858698.93
2025-06-26,2246.0,8758743.87
2025-06-27,2613.0,10148610.58
2025-06-28,2621.0,10151795.79
2025-06-29,2347.0,9256405.49
2025-06-30,2114.0,8299563.42
2025-07-01,2173.0,8715024.29
2025-07-02,2351.0,9216504.51
2025-07-03,2328.0,9156014.56
2025-07-04,2513.0,10076262.07
2025-07-05,2612.0,10432350.47
2025-07-06,2097.0,8064829.91
2025-07-07,2173.0,8658967.73
2025-07-08,2265.0,9073036.07
2025-07-09,2253.0,9083717.11
2025-07-10,2257.0,8924976.23
2025-07-11,2674.0,10297710.17
2025-07-12,2613.0,10197666.69
2025-07-13,2245.0,8757428.7
2025-07-14,2163.0,8723353.03
2025-07-15,2265.0,8618097.4
2025-07-16,2318.0,9144027.26
2025-07-17,2337.0,9382131.38
2025-07-18,2595.0,10248349.11
2025-07-19,2813.0,11058477.290000001
2025-07-20,2236.0,8962972.13
2025-07-21,2104.0,8181718.84
2025-07-22,2291.0,9053185.86
2025-07-23,2295.0,9110130.68
2025-07-24,2273.0,9022686.7
2025-07-25,2547.0,9943675.43
2025-07-26,2723.0,10938373.41
2025-07-27,2268.0,8967107.85
2025-07-28,2136.0,8045293.5200000005
2025-07-29,2262.0,8688325.95
2025-07-30,2270.0,8911579.96
2025-07-31,2333.0,8982999.19
2025-08-01,2661.0,10761599.94
2025-08-02,2555.0,10282077.9
2025-08-03,2275.0,9143648.16
2025-08-04,1959.0,7641568.81
2025-08-05,2320.0,9018839.14
2025-08-06,2452.0,9368386.45
2025-08-07,2369.0,9229963.87
2025-08-08,2713.0,10902611.58
2025-08-09,2735.0,10850492.21
2025-08-10,2250.0,8558103.87
2025-08-11,2054.0,7813005.93
2025-08-12,2381.0,8990611.26
2025-08-13,2345.0,9001028.0
2025-08-14,2270.0,9018908.13
2025-08-15,3232.0,12984240.83
2025-08-16,2835.0,11042915.5
2025-08-17,2410.0,9355460.14
2025-08-18,2042.0,8105869.56
2025-08-19,2433.0,9034970.73
2025-08-20,2330.0,9109135.64
2025-08-21,2411.0,9546547.49
2025-08-22,2677.0,10746558.11
2025-08-23,2601.0,10264238.28
2025-08-24,2223.0,8734795.94
2025-08-25,2184.0,8807186.74
2025-08-26,2342.0,9191455.84
2025-08-27,2477.0,9877591.98
2025-08-28,2281.0,9071733.9
2025-08-29,2702.0,10558560.58
2025-08-30,2586.0,10083151.85
2025-08-31,2363.0,9280104.7
2025-09-01,1826.0,7072861.18
2025-09-02,1945.0,7571292.08
2025-09-03,2005.0,7825737.81
2025-09-04,1991.0,7857007.18
2025-09-05,2203.0,8504488.72
2025-09-06,2302.0,9082222.83
2025-09-07,1973.0,7698089.02
2025-09-08,1748.0,6855603.55
2025-09-09,2051.0,8023772.34
2025-09-10,2026.0,7999735.23
2025-09-11,1949.0,7318423.78
2025-09-12,2389.0,9666484.44
2025-09-13,2301.0,9044275.120000001
2025-09-14,1973.0,7678305.82
2025-09-15,1776.0,7045038.53
2025-09-16,2032.0,7977445.85
2025-09-17,2033.0,8122004.58
2025-09-18,2010.0,8049836.7700000005
2025-09-19,2311.0,8929406.04
2025-09-20,2423.0,9375447.56
2025-09-21,2090.0,8149080.36
2025-09-22,1892.0,7609724.55
2025-09-23,2002.0,7819891.31
2025-09-24,1980.0,7868609.74
2025-09-25,1969.0,7797712.91
2025-09-26,2483.0,9745512.48
2025-09-27,2426.0,9568489.95
2025-09-28,2062.0,8253190.88
2025-09-29,1630.0,6447204.63
2025-09-30,1926.0,7489718.67
2025-10-01,2623.0,9365476.95
2025-10-02,3149.0,11621767.120000001
2025-10-03,3249.0,11763899.77
2025-10-04,3121.0,11315394.35
2025-10-05,2579.0,9934651.62
2025-10-06,2612.0,9512365.52
2025-10-07,2650.0,9863394.5
2025-10-08,2696.0,9616841.12
2025-10-09,2843.0,10614772.59
2025-10-10,3124.0,11221994.77
2025-10-11,2403.0,9582274.73
2025-10-12,2095.0,8341976.2700000005
2025-10-13,1869.0,7435190.99
2025-10-14,2066.0,8343078.359999999
2025-10-15,2103.0,8406341.129999999
2025-10-16,2055.0,8195497.57
2025-10-17,2270.0,8817367.120000001
2025-10-18,2403.0,9440404.15
2025-10-19,1977.0,7885296.98
2025-10-20,1781.0,7087422.86
2025-10-21,2137.0,8391481.81
2025-10-22,2099.0,8424986.82
2025-10-23,2589.0,8547160.66
2025-10-24,2252.0,8917602.32
2025-10-25,2246.0,8952050.959999999
2025-10-26,2059.0,8027548.470000001
2025-10-27,1796.0,7142326.6
2025-10-28,2145.0,8701907.57
2025-10-29,2065.0,8265800.5200000005
2025-10-30,2130.0,8589302.76
2025-10-31,2389.0,9430260.86
2025-11-01,2916.0,11434193.290000001
2025-11-02,1963.0,7696590.9
2025-11-03,1742.0,7024586.43
2025-11-04,2036.0,8167723.0
2025-11-05,2102.0,8254527.16
2025-11-06,2005.0,7961277.72
2025-11-07,2375.0,9417012.83
2025-11-08,2378.0,9375230.56
2025-11-09,2049.0,8125360.91
2025-11-10,1811.0,7135775.57
2025-11-11,2111.0,8367916.11
2025-11-12,2013.0,7898961.55
2025-11-13,1983.0,7834879.17
2025-11-14,2428.0,10038834.2
2025-11-15,2471.0,9871024.53
2025-11-16,2002.0,7881386.13
2025-11-17,1858.0,7100526.55
2025-11-18,2537.0,8387337.3
2025-11-19,2151.0,8715051.5
2025-11-20,2863.0,10378985.48
2025-11-21,3077.0,11299294.82
2025-11-22,3257.0,11950123.68
2025-11-23,2952.0,9983790.92
2025-11-24,2547.0,9010608.52
2025-11-25,2884.0,10297823.24
2025-11-26,2667.0,9940760.99
2025-11-27,2659.0,9781511.93
2025-11-28,3110.0,11263730.74
2025-11-29,3110.0,11127402.21
2025-11-30,2786.0,10401648.16
2025-12-01,2069.0,8104991.96
2025-12-02,2318.0,9261746.04
2025-12-03,2163.0,8499924.39
2025-12-04,2334.0,9268134.459999999
2025-12-05,2575.0,10289816.93
2025-12-06,2595.0,10325354.73
2025-12-07,2360.0,9475245.56
2025-12-08,2034.0,7968429.08
2025-12-09,2463.0,9638298.14
2025-12-10,2393.0,9308109.14
2025-12-11,2268.0,9082998.4
2025-12-12,2650.0,10454406.23
2025-12-13,2721.0,10838314.17
2025-12-14,2232.0,8958909.67
2025-12-15,2782.0,10124689.09
2025-12-16,3119.0,11222623.61
2025-12-17,3123.0,11039659.65
2025-12-18,3277.0,11693969.98
2025-12-19,3606.0,13346013.91
2025-12-20,3585.0,12851024.53
2025-12-21,3074.0,10956692.9
2025-12-22,2839.0,10427523.89
2025-12-23,3172.0,11603372.22
2025-12-24,3180.0,11769303.19
2025-12-25,3778.0,13667269.04
2025-12-26,3630.0,13312903.73
2025-12-27,3502.0,12390851.87
2025-12-28,3222.0,11843320.84
2025-12-29,2817.0,10109551.51
2025-12-30,3109.0,10970366.89
2025-12-31,3231.0,11833845.82
2026-01-01,2470.0,9446636.74
2026-01-02,2730.0,10816661.21
2026-01-03,3174.0,10828442.14
2026-01-04,2414.0,9546043.31
2026-01-05,2126.0,8533691.8
2026-01-06,2316.0,9544375.41
2026-01-07,2418.0,9799674.92
2026-01-08,2442.0,9422713.59
2026-01-09,2708.0,10752296.51
2026-01-10,2628.0,10494044.5
2026-01-11,2326.0,9013331.790000001
2026-01-12,2108.0,8483828.93
2026-01-13,2445.0,9834229.33
2026-01-14,2506.0,9950527.84
2026-01-15,2287.0,9095513.61
2026-01-16,2658.0,10476211.54
2026-01-17,2697.0,10470798.04
2026-01-18,2226.0,8847501.03
2026-01-19,2121.0,8194990.96
2026-01-20,2320.0,9101305.629999999
2026-01-21,2420.0,9503426.52
2026-01-22,2375.0,9569250.92
2026-01-23,2664.0,10362828.85
2026-01-24,2634.0,10342779.23
2026-01-25,2320.0,9151074.02
2026-01-26,2535.0,10031457.83
2026-01-27,2424.0,9254369.65
2026-01-28,2385.0,9449477.82
2026-01-29,2302.0,9149350.83
2026-01-30,2758.0,10949603.82
2026-01-31,2774.0,11065708.58
2026-02-01,3284.0,9807475.22
2026-02-02,2039.0,8217904.02
2026-02-03,2411.0,9591026.22
2026-02-04,2329.0,9263220.09
2026-02-05,2401.0,9519156.14
2026-02-06,2683.0,10203742.77
2026-02-07,2718.0,10808469.45
2026-02-08,2383.0,9444996.34
2026-02-09,2120.0,8040920.86
2026-02-10,2311.0,9052821.87
2026-02-11,2420.0,9487360.32
2026-02-12,2410.0,9800772.49
2026-02-13,2708.0,10894807.78
2026-02-14,2746.0,10694792.040000001
2026-02-15,2342.0,9253582.69
2026-02-16,2065.0,8329276.76
2026-02-17,2398.0,9451748.93
2026-02-18,2334.0,9210621.91
2026-02-19,2403.0,9682380.9
2026-02-20,2795.0,11244415.55
2026-02-21,2788.0,10913274.54
2026-02-22,2407.0,9615054.76
2026-02-23,2088.0,8245835.18
2026-02-24,2373.0,9327248.6
2026-02-25,2280.0,8827980.99
2026-02-26,2357.0,9195462.93
2026-02-27,2822.0,11283841.94
2026-02-28,2794.0,11063898.29
2026-03-01,2261.0,8722914.39
2026-03-02,2004.0,8027578.31
2026-03-03,2324.0,9076032.01
2026-03-04,2207.0,8866699.24
2026-03-05,2020.0,7831475.21
2026-03-06,2541.0,10097737.8
2026-03-07,2511.0,9815085.75
2026-03-08,2289.0,8983901.11
2026-03-09,2082.0,8467059.66
2026-03-10,2290.0,8907741.799999999
2026-03-11,2198.0,8678108.84
2026-03-12,2262.0,8990490.39
2026-03-13,2666.0,10533468.67
2026-03-14,2559.0,10268291.459999999
2026-03-15,2935.0,10440776.0
2026-03-16,2647.0,9671120.93
2026-03-17,2855.0,10875113.07
2026-03-18,2988.0,11120157.33
2026-03-19,3088.0,11458855.06
2026-03-20,3442.0,12513805.24
2026-03-21,3310.0,12391198.01
2026-03-22,3021.0,11079536.73
2026-03-23,2722.0,9660978.1
2026-03-24,2937.0,10716862.44
2026-03-25,3005.0,11463512.0
2026-03-26,2279.0,9115534.89
2026-03-27,2617.0,10610756.21
2026-03-28,2577.0,10240288.72
2026-03-29,2182.0,8510988.51
2026-03-30,1973.0,7694845.44
2026-03-31,2311.0,9084938.4
2026-04-01,2156.0,8348320.43
2026-04-02,2242.0,9027677.08
2026-04-03,2626.0,10550827.18
2026-04-04,2459.0,9924249.86
2026-04-05,2118.0,8178805.04
2026-04-06,1921.0,7380865.22
2026-04-07,2395.0,9406129.28
2026-04-08,2248.0,8875122.31
2026-04-09,2151.0,8488342.81
2026-04-10,2577.0,10146325.22
2026-04-11,2497.0,9585136.290000001
2026-04-12,2243.0,9160133.22
2026-04-13,2036.0,8225039.13
2026-04-14,2324.0,9045315.67
2026-04-15,2284.0,8957103.79
2026-04-16,2237.0,8656436.209999999
2026-04-17,2540.0,10218953.03
2026-04-18,2486.0,9503473.89
2026-04-19,2236.0,8894207.47
2026-04-20,1957.0,7753684.43
2026-04-21,2173.0,8620954.14
2026-04-22,2315.0,9148792.77
2026-04-23,2354.0,9687395.01
2026-04-24,2763.0,11043060.49
2026-04-25,2655.0,10454378.94
2026-04-26,2232.0,8490782.56
2026-04-27,1995.0,7676748.57
2026-04-28,2208.0,8634849.15
2026-04-29,2164.0,8293341.08
2026-04-30,2203.0,8695823.56
2026-05-01,2667.0,10303431.28
2026-05-02,2704.0,10683525.92
2026-05-03,2291.0,9198778.2
2026-05-04,2066.0,8273191.71
2026-05-05,2231.0,8961647.67
2026-05-06,2265.0,8893788.28
2026-05-07,2308.0,9108093.23
2026-05-08,2660.0,10454358.59
2026-05-09,2770.0,11093938.89
2026-05-10,2164.0,8563875.66
2026-05-11,2076.0,8201118.66
2026-05-12,2327.0,9396126.47
2026-05-13,2228.0,9121845.33
2026-05-14,2322.0,9247540.16
2026-05-15,2672.0,10656709.48
2026-05-16,2531.0,10184246.98
2026-05-17,2187.0,8587327.56
2026-05-18,2045.0,8070496.99
2026-05-19,2177.0,8533367.75
2026-05-20,2309.0,9187788.77
2026-05-21,2221.0,8884743.07
2026-05-22,2626.0,10232263.6
2026-05-23,2514.0,9844977.61
2026-05-24,2785.0,9333955.209999999
2026-05-25,2045.0,7843103.54
2026-05-26,2508.0,10137959.62
2026-05-27,2072.0,8382813.14
2026-05-28,2319.0,9097364.959999999
2026-05-29,2592.0,10411188.94
2026-05-30,2612.0,10281576.56
2026-05-31,2326.0,9095940.47
2026-06-01,2435.0,9807729.72
2026-06-02,2612.0,10454209.29
2026-06-03,2500.0,9991419.14
2026-06-04,2517.0,9724443.37
2026-06-05,2960.0,11590924.08
2026-06-06,2938.0,11606568.98
2026-06-07,2558.0,10055250.91
2026-06-08,2369.0,9280130.879999999
2026-06-09,2435.0,9489457.04
2026-06-10,3273.0,11820521.92
2026-06-11,3364.0,12123794.82
2026-06-12,4084.0,14585176.07
2026-06-13,3918.0,14146730.7
2026-06-14,3400.0,12433694.120000001
2026-06-15,3090.0,10841125.26
2026-06-16,3408.0,12303890.09
2026-06-17,3470.0,12894193.78
2026-06-18,3501.0,12709562.39
2026-06-19,4166.0,15244884.56
2026-06-20,3849.0,14025859.34
2026-06-21,2493.0,9786118.51
2026-06-22,2279.0,8986774.23
2026-06-23,2586.0,10048559.99
2026-06-24,2579.0,9954328.36
2026-06-25,2660.0,10503974.370000001
2026-06-26,3104.0,12423635.35
2026-06-27,3069.0,11875471.209999999
2026-06-28,2648.0,10398876.11
2026-06-29,2263.0,8895695.879999999
2026-06-30,2569.0,10093442.85
