date,sku_id,inventory_position,target_inventory,recommended_order_qty,inventory_risk,recommendation_priority,recommendation
2026-04-06,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-07,SKU011,47.0,1231,1184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-24,SKU011,48.0,1231,1183,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-14,SKU011,48.0,1231,1183,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-24,SKU011,48.0,1231,1183,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-04,SKU011,49.0,1231,1182,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-28,SKU011,49.0,1231,1182,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-23,SKU011,49.0,1231,1182,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-23,SKU011,50.0,1231,1181,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-24,SKU011,51.0,1231,1180,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-23,SKU011,52.0,1231,1179,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-05,SKU011,54.0,1231,1177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-14,SKU011,54.0,1231,1177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-07,SKU011,54.0,1231,1177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-09,SKU011,54.0,1231,1177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-26,SKU011,55.0,1231,1176,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-20,SKU011,55.0,1231,1176,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-12,SKU011,56.0,1231,1175,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-25,SKU011,56.0,1231,1175,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-24,SKU011,56.0,1231,1175,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-14,SKU011,56.0,1231,1175,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-09,SKU011,57.0,1231,1174,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-03,SKU011,57.0,1231,1174,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-13,SKU011,58.0,1231,1173,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-19,SKU011,58.0,1231,1173,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-16,SKU011,59.0,1231,1172,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-26,SKU011,59.0,1231,1172,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-17,SKU011,59.0,1231,1172,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-06,SKU011,59.0,1231,1172,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-20,SKU011,59.0,1231,1172,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-18,SKU011,60.0,1231,1171,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-30,SKU011,60.0,1231,1171,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-26,SKU011,61.0,1231,1170,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-19,SKU011,62.0,1231,1169,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-09,SKU011,63.0,1231,1168,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-19,SKU011,63.0,1231,1168,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-08,SKU011,64.0,1231,1167,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-20,SKU011,65.0,1231,1166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-27,SKU011,65.0,1231,1166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-30,SKU011,66.0,1231,1165,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-25,SKU011,66.0,1231,1165,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-15,SKU011,66.0,1231,1165,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-07,SKU011,66.0,1231,1165,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-13,SKU011,67.0,1231,1164,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-04,SKU011,67.0,1231,1164,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-06,SKU011,67.0,1231,1164,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-16,SKU011,68.0,1231,1163,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-02,SKU011,68.0,1231,1163,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-07,SKU011,69.0,1231,1162,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-29,SKU011,70.0,1231,1161,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-21,SKU011,72.0,1231,1159,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-02,SKU011,72.0,1231,1159,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-27,SKU011,76.0,1231,1155,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-10,SKU011,77.0,1231,1154,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-05,SKU011,77.0,1231,1154,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-27,SKU011,79.0,1231,1152,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-04,SKU011,79.0,1231,1152,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-15,SKU011,79.0,1231,1152,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-25,SKU011,80.0,1231,1151,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-09,SKU011,80.0,1231,1151,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-13,SKU011,80.0,1231,1151,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-22,SKU011,81.0,1231,1150,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-24,SKU011,82.0,1231,1149,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-20,SKU011,83.0,1231,1148,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-27,SKU011,83.0,1231,1148,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-05,SKU011,83.0,1231,1148,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-18,SKU011,83.0,1231,1148,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-22,SKU011,86.0,1231,1145,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-09,SKU011,86.0,1231,1145,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-13,SKU011,87.0,1231,1144,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-16,SKU011,88.0,1231,1143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-18,SKU011,88.0,1231,1143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-11,SKU011,88.0,1231,1143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-18,SKU011,89.0,1231,1142,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-09,SKU011,89.0,1231,1142,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-18,SKU011,91.0,1231,1140,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-17,SKU011,91.0,1231,1140,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-01,SKU011,92.0,1231,1139,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-01,SKU011,93.0,1231,1138,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-13,SKU011,93.0,1231,1138,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-04,SKU011,94.0,1231,1137,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-20,SKU011,94.0,1231,1137,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-20,SKU011,94.0,1231,1137,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-23,SKU011,95.0,1231,1136,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-30,SKU011,98.0,1231,1133,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-23,SKU011,100.0,1231,1131,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-11,SKU011,100.0,1231,1131,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-01,SKU011,100.0,1231,1131,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-15,SKU011,101.0,1231,1130,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-15,SKU011,102.0,1231,1129,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-03,SKU011,103.0,1231,1128,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-05,SKU011,104.0,1231,1127,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-08,SKU011,106.0,1231,1125,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-07,SKU011,106.0,1231,1125,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-11,SKU011,107.0,1231,1124,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-07,SKU011,109.0,1231,1122,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-21,SKU011,109.0,1231,1122,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-24,SKU011,110.0,1231,1121,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-23,SKU011,110.0,1231,1121,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-20,SKU011,110.0,1231,1121,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-20,SKU011,110.0,1231,1121,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-09,SKU011,111.0,1231,1120,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-14,SKU011,111.0,1231,1120,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-10,SKU011,112.0,1231,1119,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-17,SKU011,112.0,1231,1119,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-11,SKU011,113.0,1231,1118,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-12,SKU011,113.0,1231,1118,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-28,SKU011,114.0,1231,1117,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-01,SKU011,114.0,1231,1117,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-01,SKU011,115.0,1231,1116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-01,SKU011,115.0,1231,1116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-12,SKU011,115.0,1231,1116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-10,SKU011,115.0,1231,1116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-02,SKU011,116.0,1231,1115,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-22,SKU011,116.0,1231,1115,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-26,SKU011,117.0,1231,1114,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-24,SKU011,117.0,1231,1114,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-09,SKU011,120.0,1231,1111,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-18,SKU011,120.0,1231,1111,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-12,SKU011,121.0,1231,1110,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-01,SKU011,121.0,1231,1110,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-11,SKU011,121.0,1231,1110,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-19,SKU011,122.0,1231,1109,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-22,SKU011,123.0,1231,1108,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-31,SKU011,124.0,1231,1107,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-06,SKU011,125.0,1231,1106,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-14,SKU011,125.0,1231,1106,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-17,SKU011,125.0,1231,1106,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-26,SKU011,126.0,1231,1105,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-22,SKU011,126.0,1231,1105,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-28,SKU011,127.0,1231,1104,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-16,SKU011,128.0,1231,1103,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-24,SKU011,128.0,1231,1103,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-29,SKU011,129.0,1231,1102,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-22,SKU011,129.0,1231,1102,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-03,SKU011,129.0,1231,1102,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-29,SKU011,130.0,1231,1101,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-01,SKU011,131.0,1231,1100,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-20,SKU011,131.0,1231,1100,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-28,SKU011,131.0,1231,1100,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-26,SKU011,132.0,1231,1099,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-25,SKU011,133.0,1231,1098,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-05,SKU011,133.0,1231,1098,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-11,SKU011,133.0,1231,1098,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-06,SKU011,134.0,1231,1097,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-10,SKU011,136.0,1231,1095,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-15,SKU011,137.0,1231,1094,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-07,SKU011,138.0,1231,1093,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-18,SKU011,138.0,1231,1093,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-23,SKU011,138.0,1231,1093,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-05,SKU011,138.0,1231,1093,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-14,SKU011,139.0,1231,1092,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-19,SKU011,139.0,1231,1092,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-01,SKU011,139.0,1231,1092,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-31,SKU011,140.0,1231,1091,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-04,SKU011,141.0,1231,1090,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-04,SKU011,141.0,1231,1090,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-25,SKU011,141.0,1231,1090,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-22,SKU011,142.0,1231,1089,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-05,SKU011,142.0,1231,1089,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-08,SKU011,143.0,1231,1088,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-04,SKU011,143.0,1231,1088,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-28,SKU011,144.0,1231,1087,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-15,SKU011,144.0,1231,1087,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-14,SKU011,144.0,1231,1087,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-08,SKU011,145.0,1231,1086,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-25,SKU011,145.0,1231,1086,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-28,SKU011,145.0,1231,1086,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-28,SKU011,147.0,1231,1084,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-14,SKU011,147.0,1231,1084,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-27,SKU011,148.0,1231,1083,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-21,SKU011,148.0,1231,1083,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-18,SKU011,149.0,1231,1082,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-24,SKU011,150.0,1231,1081,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-07,SKU011,150.0,1231,1081,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-19,SKU011,151.0,1231,1080,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-02,SKU011,151.0,1231,1080,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-30,SKU011,152.0,1231,1079,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-26,SKU011,152.0,1231,1079,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-21,SKU011,153.0,1231,1078,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-27,SKU011,154.0,1231,1077,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-15,SKU011,156.0,1231,1075,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-03,SKU011,156.0,1231,1075,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-08,SKU011,159.0,1231,1072,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-11,SKU011,159.0,1231,1072,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-20,SKU011,160.0,1231,1071,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-23,SKU011,162.0,1231,1069,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-06,SKU011,162.0,1231,1069,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-05,SKU011,162.0,1231,1069,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-14,SKU011,163.0,1231,1068,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-24,SKU011,163.0,1231,1068,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-29,SKU011,164.0,1231,1067,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-10,SKU011,165.0,1231,1066,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-26,SKU011,166.0,1231,1065,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-05,SKU011,166.0,1231,1065,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-18,SKU011,167.0,1231,1064,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-30,SKU011,167.0,1231,1064,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-11,SKU011,167.0,1231,1064,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-25,SKU011,167.0,1231,1064,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-31,SKU011,168.0,1231,1063,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-21,SKU011,168.0,1231,1063,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-17,SKU011,168.0,1231,1063,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-23,SKU011,169.0,1231,1062,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-10,SKU011,169.0,1231,1062,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-08,SKU011,170.0,1231,1061,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-09,SKU011,171.0,1231,1060,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-05,SKU011,171.0,1231,1060,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-21,SKU011,171.0,1231,1060,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-30,SKU011,172.0,1231,1059,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-11,SKU011,173.0,1231,1058,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-12,SKU011,173.0,1231,1058,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-25,SKU011,174.0,1231,1057,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-18,SKU011,174.0,1231,1057,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-02,SKU011,175.0,1231,1056,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-14,SKU011,176.0,1231,1055,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-14,SKU011,176.0,1231,1055,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-16,SKU011,176.0,1231,1055,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-08,SKU011,176.0,1231,1055,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-21,SKU011,179.0,1231,1052,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-04,SKU011,179.0,1231,1052,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-06,SKU011,179.0,1231,1052,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-15,SKU011,179.0,1231,1052,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-30,SKU011,179.0,1231,1052,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-23,SKU011,180.0,1231,1051,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-01-30,SKU011,181.0,1231,1050,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-08,SKU011,182.0,1231,1049,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-03,SKU011,182.0,1231,1049,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-16,SKU011,183.0,1231,1048,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-12-10,SKU011,184.0,1231,1047,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-06-30,SKU011,185.0,1231,1046,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-02-12,SKU011,185.0,1231,1046,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-14,SKU011,186.0,1231,1045,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-26,SKU011,188.0,1231,1043,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-12,SKU011,188.0,1231,1043,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-04-10,SKU011,189.0,1231,1042,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-03-13,SKU011,190.0,1231,1041,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-02-16,SKU011,190.0,1231,1041,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-10-10,SKU011,190.0,1231,1041,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-22,SKU011,191.0,1231,1040,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-06,SKU011,192.0,1231,1039,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-21,SKU011,192.0,1231,1039,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-27,SKU011,192.0,1231,1039,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-09-30,SKU011,193.0,1231,1038,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-05-24,SKU011,194.0,1231,1037,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-28,SKU011,194.0,1231,1037,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-10,SKU011,195.0,1231,1036,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-11-17,SKU011,196.0,1231,1035,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-27,SKU011,197.0,1231,1034,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2026-01-04,SKU011,197.0,1231,1034,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-08-01,SKU011,198.0,1231,1033,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
