date,sku_id,units_sold,revenue,price,promo_flag,calculated_revenue,revenue_difference,revenue_consistency_flag,category,subcategory,launch_date,unit_cost,list_price,sku_quality_flag,week,month,season,is_holiday,promo_event,promo_flag_calendar,on_hand_units,on_order_units,lead_time_days,reorder_point,inventory_quality_flag,day_of_week,day_of_month,week_of_year,quarter,year,is_weekend,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,rolling_std_28,demand_trend_7_28,promo_demand_interaction,price_change,stock_gap,stockout_flag,total_available_stock,promo_lag_1
2025-01-12,SKU001,59.0,256759.6,3737.54,1,220514.86,36244.74000000002,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,2,1,Winter,0,New Year Sale,1,51.0,0,6.0,255,OK,6,12,2,1,2025,1,84.0,43.0,,,59.285714285714285,,,14.602674249537147,,,,59.285714285714285,-0.2098691832195979,-204.0,0,51.0,1.0
2025-01-13,SKU001,43.0,187129.88,7237.42,1,311209.06,-124079.18,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,New Year Sale,1,8.0,187,6.0,255,OK,0,13,3,1,2025,0,59.0,56.0,,,61.57142857142857,,,12.765280292746455,,,,61.57142857142857,0.9364127206665347,-247.0,0,195.0,1.0
2025-01-14,SKU001,66.0,287222.6,7237.42,1,477669.72,-190447.12000000005,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,New Year Sale,1,0.0,139,6.0,255,OK,1,14,3,1,2025,0,43.0,46.0,,,59.714285714285715,,,14.534032311719116,,,,59.714285714285715,0.0,-255.0,1,139.0,1.0
2025-01-15,SKU001,74.0,322037.46,4272.13,1,316137.62,5899.840000000026,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,New Year Sale,1,0.0,135,6.0,255,OK,2,15,3,1,2025,0,66.0,51.0,52.0,,62.57142857142857,59.07142857142857,,13.30234494186574,12.584876673178838,,,62.57142857142857,-0.4097164459158098,-255.0,1,135.0,1.0
2025-01-16,SKU001,50.0,236514.0,8525.33,0,426266.5,-189752.5,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,,0,0.0,87,6.0,255,OK,3,16,3,1,2025,0,74.0,65.0,69.0,,65.85714285714286,60.642857142857146,,12.798809468443697,13.000633965945028,,,0.0,0.9955689550645697,-255.0,1,87.0,1.0
2025-01-17,SKU001,40.0,189211.2,8525.33,0,341013.2,-151802.0,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,,0,0.0,39,6.0,255,OK,4,17,3,1,2025,0,50.0,70.0,49.0,,63.714285714285715,59.285714285714285,,14.150551057753736,13.05272486393651,,,0.0,0.0,-255.0,1,39.0,0.0
2025-01-18,SKU001,58.0,274356.24,3211.11,0,186244.38,88111.85999999999,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,,0,101.0,0,6.0,255,OK,5,18,3,1,2025,1,40.0,84.0,74.0,,59.42857142857143,58.642857142857146,,16.30804650938858,13.798590467910078,,,0.0,-0.6233447854804448,-154.0,0,101.0,0.0
2025-01-19,SKU001,66.0,312198.48,3211.11,0,211933.26,100265.21999999996,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,3,1,Winter,0,,0,35.0,30,6.0,255,OK,6,19,3,1,2025,1,58.0,59.0,43.0,,55.714285714285715,57.5,,12.229939843328278,13.072284245097157,,,0.0,0.0,-220.0,0,65.0,0.0
2025-01-20,SKU001,41.0,193941.48,3211.11,0,131655.51,62285.97,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,0.0,149,6.0,255,OK,0,20,4,1,2025,0,66.0,43.0,56.0,,56.714285714285715,59.142857142857146,,12.81554116056342,12.544426545786672,,,0.0,0.0,-255.0,1,149.0,0.0
2025-01-21,SKU001,54.0,255435.12,1437.45,0,77622.3,177812.82,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,0.0,85,6.0,255,OK,1,21,4,1,2025,0,41.0,66.0,46.0,,56.42857142857143,58.07142857142857,,13.18910083941968,13.441979511471262,,,0.0,-0.5523510561768361,-255.0,1,85.0,0.0
2025-01-22,SKU001,58.0,274356.24,2416.11,0,140134.38,134221.86,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,0.0,105,6.0,255,OK,2,22,4,1,2025,0,54.0,74.0,51.0,,54.714285714285715,58.642857142857146,,12.499523800453165,13.053777189039918,,,0.0,0.6808306375873945,-255.0,1,105.0,0.0
2025-01-23,SKU001,77.0,364231.56,4730.28,0,364231.56,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,0.0,112,6.0,255,OK,3,23,4,1,2025,0,58.0,50.0,65.0,,52.42857142857143,59.142857142857146,,9.484322904265797,12.871298678467905,,,0.0,0.9578082123744365,-255.0,1,112.0,0.0
2025-01-24,SKU001,61.0,288547.08,7593.32,0,463192.52,-174645.43999999994,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,4.0,0,6.0,255,OK,4,24,4,1,2025,0,77.0,40.0,70.0,,56.285714285714285,60.0,,13.123951205261896,13.666353967654679,,,0.0,0.6052580396932106,-251.0,0,4.0,0.0
2025-01-25,SKU001,51.0,241244.28,3475.7,0,177260.69999999998,63983.580000000016,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,0,,0,0.0,137,6.0,255,OK,5,25,4,1,2025,1,61.0,58.0,84.0,,59.285714285714285,59.357142857142854,,11.010817192111366,13.368200746876568,,,0.0,-0.5422687309371922,-255.0,1,137.0,0.0
2025-01-26,SKU001,78.0,368961.84,4730.28,0,368961.84,5.820766091346741e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,4,1,Winter,1,,0,0.0,71,6.0,255,OK,6,26,4,1,2025,1,51.0,66.0,59.0,,58.285714285714285,57.0,,11.45591965920219,11.462312828771314,,,0.0,0.3609575049630289,-255.0,1,71.0,0.0
2025-01-27,SKU001,58.0,274356.24,4670.21,0,270872.18,3484.0599999999977,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,1,Winter,0,,0,0.0,49,6.0,255,OK,0,27,5,1,2025,0,78.0,41.0,43.0,,60.0,58.357142857142854,,13.515423288475528,12.767790862811136,,,0.0,-0.012699036843484945,-255.0,1,49.0,0.0
2025-01-28,SKU001,58.0,274356.24,637.85,0,36995.3,237360.94,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,1,Winter,0,,0,0.0,85,6.0,255,OK,1,28,5,1,2025,0,58.0,54.0,66.0,,62.42857142857143,59.42857142857143,,10.783585409580356,11.985339029345463,,,0.0,-0.8634215592018346,-255.0,1,85.0,0.0
2025-01-29,SKU001,55.0,260165.4,637.85,0,35081.75,225083.65,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,1,Winter,0,,0,0.0,165,6.0,255,OK,2,29,5,1,2025,0,58.0,58.0,74.0,52.0,63.0,58.857142857142854,58.964285714285715,10.360180178613371,11.837730700259579,11.989137499812818,4.035714285714285,0.0,0.0,-255.0,1,165.0,0.0
2025-01-30,SKU001,40.0,189211.2,4175.17,0,167006.8,22204.400000000023,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,1,Winter,0,,0,54.0,0,6.0,255,OK,3,30,5,1,2025,0,55.0,77.0,50.0,69.0,62.57142857142857,57.5,59.07142857142857,10.659223593632309,11.029680238059768,11.93789041301802,3.5,0.0,5.545692560946931,-201.0,0,54.0,0.0
2025-01-31,SKU001,72.0,340580.16,6741.37,0,485378.64,-144798.48000000004,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,1,Winter,0,,0,0.0,187,6.0,255,OK,4,31,5,1,2025,0,40.0,61.0,40.0,49.0,57.285714285714285,56.785714285714285,58.035714285714285,11.455919659202191,11.846314398797835,12.297190714585971,-0.75,0.0,0.6146336556355789,-255.0,1,187.0,0.0
2025-02-01,SKU001,61.0,288547.08,4221.74,0,257526.14,31020.94000000003,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,2,Winter,0,,0,0.0,30,6.0,255,OK,5,1,5,1,2025,1,72.0,51.0,58.0,74.0,58.857142857142854,59.07142857142857,58.857142857142854,12.733532783279635,11.438560195263186,12.43863242963537,0.0,0.0,-0.37375637296276576,-255.0,1,30.0,0.0
2025-02-02,SKU001,59.0,279086.52,4730.28,0,279086.52,5.820766091346741e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,5,2,Winter,0,,0,0.0,27,6.0,255,OK,6,2,5,1,2025,1,61.0,78.0,66.0,43.0,60.285714285714285,59.285714285714285,58.392857142857146,12.257165057144954,11.445043075017718,12.090214242240723,1.8928571428571388,0.0,0.12045744171834372,-255.0,1,27.0,0.0
2025-02-03,SKU001,54.0,255435.12,1795.19,0,96940.26,158494.86,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,0.0,176,6.0,255,OK,0,3,6,1,2025,0,59.0,58.0,41.0,56.0,57.57142857142857,58.785714285714285,58.964285714285715,9.466733735510239,11.280879476274968,11.707807280731577,-1.392857142857146,0.0,-0.6204896961702056,-255.0,1,176.0,0.0
2025-02-04,SKU001,50.0,236514.0,1795.19,0,89759.5,146754.5,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,0.0,56,6.0,255,OK,1,4,6,1,2025,0,54.0,58.0,54.0,46.0,57.0,59.714285714285715,58.892857142857146,9.556847457887637,10.18617895769762,11.732636613513685,-1.892857142857146,0.0,0.0,-255.0,1,56.0,0.0
2025-02-05,SKU001,79.0,373692.12,4730.28,0,373692.12,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,0.0,61,6.0,255,OK,2,5,6,1,2025,0,50.0,55.0,58.0,51.0,55.857142857142854,59.42857142857143,59.035714285714285,9.88986975695453,10.412376405873083,11.593363819706713,-3.1785714285714306,0.0,1.6349745709367807,-255.0,1,61.0,0.0
2025-02-06,SKU001,48.0,227053.44,2955.84,0,141880.32,85173.12,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,108.0,0,6.0,255,OK,3,6,6,1,2025,0,79.0,40.0,77.0,65.0,59.285714285714285,60.92857142857143,60.035714285714285,13.161994348809577,11.631947291928286,12.072258197595756,-0.75,0.0,-0.3751236713260102,-147.0,0,108.0,0.0
2025-02-07,SKU001,81.0,383152.68,2955.84,0,239423.04,143729.63999999998,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,27.0,54,6.0,255,OK,4,7,6,1,2025,0,48.0,72.0,61.0,70.0,60.42857142857143,58.857142857142854,59.42857142857143,11.443442705426584,11.120716239088637,12.239670085812108,1.0,0.0,0.0,-228.0,0,81.0,0.0
2025-02-08,SKU001,51.0,241244.28,5551.47,0,283124.97000000003,-41880.69000000003,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,0.0,128,6.0,255,OK,5,8,6,1,2025,1,81.0,61.0,51.0,84.0,61.714285714285715,60.285714285714285,59.82142857142857,13.313079855469026,12.602982378594556,12.757143449640635,1.892857142857146,0.0,0.878136164339071,-255.0,1,128.0,0.0
2025-02-09,SKU001,61.0,288547.08,4730.28,0,288547.08,5.820766091346741e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,6,2,Winter,0,,0,0.0,31,6.0,255,OK,6,9,6,1,2025,1,51.0,59.0,78.0,59.0,60.285714285714285,60.285714285714285,58.642857142857146,13.924969009113157,12.602982378594556,11.938776802268794,1.6428571428571388,0.0,-0.1479229825613757,-255.0,1,31.0,0.0
2025-02-10,SKU001,50.0,236514.0,1369.57,0,68478.5,168035.5,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,0.0,172,6.0,255,OK,0,10,7,1,2025,0,61.0,54.0,58.0,43.0,60.57142857142857,59.07142857142857,58.714285714285715,13.91470616358993,11.538992661768692,11.94697278519369,1.857142857142854,0.0,-0.7104674564719213,-255.0,1,172.0,0.0
2025-02-11,SKU001,40.0,189211.2,1369.57,0,54782.8,134428.40000000002,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,0.0,121,6.0,255,OK,1,11,7,1,2025,0,50.0,50.0,58.0,66.0,60.0,58.5,58.964285714285715,14.306175822583288,11.791457142289989,11.676129948831955,1.0357142857142847,0.0,0.0,-255.0,1,121.0,0.0
2025-02-12,SKU001,46.0,217592.88,1693.76,0,77912.96,139679.91999999998,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,54.0,0,6.0,255,OK,2,12,7,1,2025,0,40.0,79.0,55.0,74.0,58.57142857142857,57.214285714285715,58.035714285714285,15.883504471171161,12.789289818669921,12.121245941511257,0.5357142857142847,0.0,0.23670933212614176,-201.0,0,54.0,0.0
2025-02-13,SKU001,50.0,236514.0,1693.76,0,84688.0,151826.0,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,4.0,85,6.0,255,OK,3,13,7,1,2025,0,46.0,48.0,40.0,50.0,53.857142857142854,56.57142857142857,57.035714285714285,13.533028380331476,13.13078757796281,11.90854701731038,-3.1785714285714306,0.0,0.0,-251.0,0,89.0,0.0
2025-02-14,SKU001,63.0,298007.64,5549.02,0,349588.26,-51580.62,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,0.0,77,6.0,255,OK,4,14,7,1,2025,0,50.0,81.0,72.0,40.0,54.142857142857146,57.285714285714285,57.035714285714285,13.409307357560413,12.412329920926776,11.90854701731038,-2.892857142857139,0.0,2.2761548271301724,-255.0,1,77.0,0.0
2025-02-15,SKU001,50.0,236514.0,5549.02,0,277451.0,-40937.0,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,0.0,69,6.0,255,OK,5,15,7,1,2025,1,63.0,51.0,61.0,58.0,51.57142857142857,56.642857142857146,57.857142857142854,8.059303999253348,11.81008137050808,11.475301289401493,-6.285714285714285,0.0,0.0,-255.0,1,69.0,0.0
2025-02-16,SKU001,44.0,208132.32,3010.64,0,132468.16,75664.16,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,7,2,Winter,0,,0,0.0,189,6.0,255,OK,6,16,7,1,2025,1,50.0,61.0,59.0,66.0,51.42857142857143,55.857142857142854,57.57142857142857,8.079957567073874,11.863694734240797,11.57080800478505,-6.142857142857139,0.0,-0.45744654010978525,-255.0,1,189.0,0.0
2025-02-17,SKU001,46.0,217592.88,2600.37,0,119617.02,97975.86000000002,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,76,6.0,255,OK,0,17,8,1,2025,0,44.0,50.0,54.0,41.0,49.0,54.785714285714285,56.785714285714285,7.234178138070241,12.229715207883384,11.723218945062072,-7.785714285714285,0.0,-0.13627335051683365,-255.0,1,76.0,0.0
2025-02-18,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,28.0,0,6.0,255,OK,1,18,8,1,2025,0,46.0,40.0,50.0,54.0,48.42857142857143,54.214285714285715,56.964285714285715,7.299706452023558,12.454091520636728,11.51000255126638,-8.535714285714285,0.0,0.819079592519526,-227.0,0,28.0,0.0
2025-02-19,SKU001,49.0,231783.72,1844.52,0,90381.48,141402.24,REVENUE_MISMATCH,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,101,6.0,255,OK,2,19,8,1,2025,0,36.0,46.0,79.0,58.0,47.857142857142854,53.214285714285715,56.32142857142857,8.17370930542088,13.348457539405771,12.165688153736642,-8.464285714285715,0.0,-0.610061138029884,-255.0,1,101.0,0.0
2025-02-20,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,67,6.0,255,OK,3,20,8,1,2025,0,49.0,50.0,48.0,77.0,48.285714285714285,51.07142857142857,56.0,8.138678961483572,11.111077533526803,12.238373167123873,-7.714285714285715,0.0,1.5645045865591047,-255.0,1,67.0,0.0
2025-02-21,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,70,6.0,255,OK,4,21,8,1,2025,0,58.0,63.0,81.0,61.0,49.42857142857143,51.785714285714285,55.32142857142857,8.9416095280649,11.219341619436788,11.537550839111356,-5.892857142857139,0.0,0.0,-255.0,1,70.0,0.0
2025-02-22,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,69,6.0,255,OK,5,22,8,1,2025,1,58.0,50.0,51.0,51.0,48.714285714285715,50.142857142857146,55.214285714285715,7.804150299985386,7.764387566686406,11.496721409802143,-6.5,0.0,0.0,-255.0,1,69.0,0.0
2025-02-23,SKU001,59.0,279086.52,4730.28,0,279086.52,5.820766091346741e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,8,2,Winter,0,,0,0.0,47,6.0,255,OK,6,23,8,1,2025,1,36.0,44.0,61.0,78.0,46.714285714285715,49.07142857142857,54.67857142857143,9.105205209371288,8.624333068656444,12.037144891661681,-7.964285714285715,0.0,0.0,-255.0,1,47.0,0.0
2025-02-24,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,2,Winter,0,,0,124.0,0,6.0,255,OK,0,24,9,1,2025,0,59.0,46.0,50.0,58.0,48.857142857142854,48.92857142857143,54.0,10.07353912367399,8.425823727951215,11.178683418138412,-5.142857142857146,0.0,0.0,-131.0,0,124.0,0.0
2025-02-25,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,2,Winter,0,,0,69.0,55,6.0,255,OK,1,25,9,1,2025,0,50.0,36.0,40.0,58.0,49.42857142857143,48.92857142857143,53.714285714285715,9.99761876410483,8.425823727951215,11.174896280427243,-4.285714285714285,0.0,0.0,-186.0,0,124.0,0.0
2025-02-26,SKU001,45.0,212862.6,4730.28,0,212862.6,2.9103830456733704e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,2,Winter,0,,0,24.0,27,6.0,255,OK,2,26,9,1,2025,0,55.0,49.0,46.0,55.0,52.142857142857146,50.0,53.607142857142854,8.15329322888552,8.1523946458411,11.146629737160657,-1.4642857142857082,0.0,0.0,-231.0,0,51.0,0.0
2025-02-27,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,2,Winter,0,,0,0.0,156,6.0,255,OK,3,27,9,1,2025,0,45.0,58.0,50.0,40.0,51.57142857142857,49.92857142857143,53.25,8.541216596737316,8.194409780353421,11.259975001616867,-1.6785714285714306,0.0,0.0,-255.0,1,156.0,0.0
2025-02-28,SKU001,78.0,368961.84,4730.28,0,368961.84,5.820766091346741e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,2,Winter,0,,0,0.0,100,6.0,255,OK,4,28,9,1,2025,0,51.0,58.0,63.0,72.0,50.57142857142857,50.0,53.642857142857146,8.059303999253347,8.199437128899117,10.968690410079457,-3.0714285714285765,0.0,0.0,-255.0,1,100.0,0.0
2025-03-01,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,3,Spring,0,,0,0.0,84,6.0,255,OK,5,1,9,1,2025,1,78.0,36.0,50.0,61.0,53.42857142857143,51.07142857142857,53.857142857142854,13.100345324419795,10.644350511055052,11.391076057889066,-0.4285714285714235,0.0,0.0,-255.0,1,84.0,0.0
2025-03-02,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,9,3,Spring,0,,0,0.0,114,6.0,255,OK,6,2,9,1,2025,1,50.0,59.0,44.0,59.0,55.42857142857143,51.07142857142857,53.464285714285715,10.875923606099583,10.644350511055052,11.325102052870704,1.9642857142857153,0.0,0.0,-255.0,1,114.0,0.0
2025-03-03,SKU001,43.0,203402.04,4730.28,0,203402.04,2.9103830456733704e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,10,3,Spring,0,,0,0.0,118,6.0,255,OK,0,3,10,1,2025,0,51.0,50.0,46.0,54.0,54.285714285714285,51.57142857142857,53.17857142857143,10.858395917664902,10.449249407819364,11.281100456658793,1.107142857142854,0.0,0.0,-255.0,1,118.0,0.0
2025-03-04,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,10,3,Spring,0,,0,0.0,89,6.0,255,OK,1,4,10,1,2025,0,43.0,55.0,36.0,50.0,53.285714285714285,51.357142857142854,52.785714285714285,11.614850920470818,10.601938450165566,11.441824326362626,0.5,0.0,0.0,-255.0,1,89.0,0.0
2025-03-05,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,10,3,Spring,0,,0,0.0,168,6.0,255,OK,2,5,10,1,2025,0,48.0,45.0,49.0,79.0,52.285714285714285,52.214285714285715,52.714285714285715,11.743285822322552,9.712629141234878,11.466076027608537,-0.4285714285714306,0.0,0.0,-255.0,1,168.0,0.0
2025-03-06,SKU001,44.0,208132.32,4730.28,0,208132.32,2.9103830456733704e-11,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,10,3,Spring,0,,0,123.0,0,6.0,255,OK,3,6,10,1,2025,0,58.0,51.0,58.0,48.0,54.142857142857146,52.857142857142854,51.964285714285715,11.422617496711966,9.781121084534728,10.31174139425588,2.1785714285714306,0.0,0.0,-132.0,0,123.0,0.0
2025-03-07,SKU001,64.0,302737.92,4730.28,0,302737.92,0.0,OK,Furniture,Chair,2024-02-14,2362.73,4730.28,OK,10,3,Spring,0,,0,59.0,86,6.0,255,OK,4,7,10,1,2025,0,44.0,78.0,58.0,81.0,53.142857142857146,51.857142857142854,51.82142857142857,12.033682886362085,9.92942126175573,10.39605898059654,1.3214285714285765,0.0,0.0,-196.0,0,145.0,0.0
