date,sku_id,units_sold,revenue,price,promo_flag,calculated_revenue,revenue_difference,revenue_consistency_flag
2025-01-28,SKU001,58.0,274356.24,637.85,0,36995.3,237360.94,REVENUE_MISMATCH
2025-01-29,SKU001,55.0,260165.4,637.85,0,35081.75,225083.65,REVENUE_MISMATCH
2025-01-30,SKU001,40.0,189211.2,4175.17,0,167006.8,22204.400000000023,REVENUE_MISMATCH
2025-01-31,SKU001,72.0,340580.16,6741.37,0,485378.64,-144798.48000000004,REVENUE_MISMATCH
2025-02-01,SKU001,61.0,288547.08,4221.74,0,257526.13999999998,31020.94000000003,REVENUE_MISMATCH
2025-02-02,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-02-03,SKU001,54.0,255435.12,1795.19,0,96940.26000000001,158494.86,REVENUE_MISMATCH
2025-02-04,SKU001,50.0,236514.0,1795.19,0,89759.5,146754.5,REVENUE_MISMATCH
2025-02-05,SKU001,79.0,373692.12,4730.28,0,373692.12,0.0,OK
2025-02-06,SKU001,48.0,227053.44,2955.84,0,141880.32,85173.12,REVENUE_MISMATCH
2025-02-07,SKU001,81.0,383152.68,2955.84,0,239423.04,143729.63999999998,REVENUE_MISMATCH
2025-02-08,SKU001,51.0,241244.28,5551.47,0,283124.97000000003,-41880.69000000003,REVENUE_MISMATCH
2025-02-09,SKU001,61.0,288547.08,4730.28,0,288547.07999999996,5.820766091346741e-11,OK
2025-02-10,SKU001,50.0,236514.0,1369.57,0,68478.5,168035.5,REVENUE_MISMATCH
2025-02-11,SKU001,40.0,189211.2,1369.57,0,54782.799999999996,134428.40000000002,REVENUE_MISMATCH
2025-02-12,SKU001,46.0,217592.88,1693.76,0,77912.96,139679.91999999998,REVENUE_MISMATCH
2025-02-13,SKU001,50.0,236514.0,1693.76,0,84688.0,151826.0,REVENUE_MISMATCH
2025-02-14,SKU001,63.0,298007.64,5549.02,0,349588.26,-51580.619999999995,REVENUE_MISMATCH
2025-02-15,SKU001,50.0,236514.0,5549.02,0,277451.0,-40937.0,REVENUE_MISMATCH
2025-02-16,SKU001,44.0,208132.32,3010.64,0,132468.16,75664.16,REVENUE_MISMATCH
2025-02-17,SKU001,46.0,217592.88,2600.37,0,119617.01999999999,97975.86000000002,REVENUE_MISMATCH
2025-02-18,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK
2025-02-19,SKU001,49.0,231783.72,1844.52,0,90381.48,141402.24,REVENUE_MISMATCH
2025-02-20,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-02-21,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-02-22,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK
2025-02-23,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-02-24,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-02-25,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-02-26,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-02-27,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-02-28,SKU001,78.0,368961.84,4730.28,0,368961.83999999997,5.820766091346741e-11,OK
2025-03-01,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-03-02,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-03-03,SKU001,43.0,203402.04,4730.28,0,203402.03999999998,2.9103830456733704e-11,OK
2025-03-04,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-03-05,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-03-06,SKU001,44.0,208132.32,4730.28,0,208132.31999999998,2.9103830456733704e-11,OK
2025-03-07,SKU001,64.0,302737.92,4730.28,0,302737.92,0.0,OK
2025-03-08,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-03-09,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-03-10,SKU001,41.0,193941.48,4730.28,0,193941.47999999998,2.9103830456733704e-11,OK
2025-03-11,SKU001,40.0,189211.2,4730.28,0,189211.19999999998,2.9103830456733704e-11,OK
2025-03-12,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-03-13,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-03-14,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-03-15,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-03-16,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-03-17,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-03-18,SKU001,34.0,160829.52,4730.28,0,160829.52,0.0,OK
2025-03-19,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-03-20,SKU001,59.0,256759.6,4730.28,1,279086.51999999996,-22326.919999999955,REVENUE_MISMATCH
2025-03-21,SKU001,73.0,317685.6,4730.28,1,345310.44,-27624.840000000026,REVENUE_MISMATCH
2025-03-22,SKU001,80.0,348148.61,4730.28,1,378422.39999999997,-30273.78999999998,REVENUE_MISMATCH
2025-03-23,SKU001,81.0,352500.47,4730.28,1,383152.68,-30652.21000000002,REVENUE_MISMATCH
2025-03-24,SKU001,52.0,226296.6,4730.28,1,245974.56,-19677.959999999992,REVENUE_MISMATCH
2025-03-25,SKU001,53.0,230648.45,4730.28,1,250704.84,-20056.389999999985,REVENUE_MISMATCH
2025-03-26,SKU001,69.0,300278.17,4730.28,1,326389.32,-26111.150000000023,REVENUE_MISMATCH
2025-03-27,SKU001,54.0,235000.31,4730.28,1,255435.12,-20434.809999999998,REVENUE_MISMATCH
2025-03-28,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-03-29,SKU001,64.0,302737.92,4730.28,0,302737.92,0.0,OK
2025-03-30,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-03-31,SKU001,44.0,208132.32,4730.28,0,208132.31999999998,2.9103830456733704e-11,OK
2025-04-01,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-04-02,SKU001,71.0,335849.88,4730.28,0,335849.88,0.0,OK
2025-04-03,SKU001,38.0,179750.64,4730.28,0,179750.63999999998,2.9103830456733704e-11,OK
2025-04-04,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-04-05,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-04-06,SKU001,37.0,175020.36,4730.28,0,175020.36,0.0,OK
2025-04-07,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-04-08,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-04-09,SKU001,35.0,165559.8,4730.28,0,165559.8,0.0,OK
2025-04-10,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-04-11,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-04-12,SKU001,66.0,312198.48,4730.28,0,312198.48,0.0,OK
2025-04-13,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-04-14,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-04-15,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-04-16,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-04-17,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-04-18,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-04-19,SKU001,40.0,189211.2,4730.28,0,189211.19999999998,2.9103830456733704e-11,OK
2025-04-20,SKU001,37.0,175020.36,4730.28,0,175020.36,0.0,OK
2025-04-21,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-04-22,SKU001,66.0,312198.48,4730.28,0,312198.48,0.0,OK
2025-04-23,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-04-24,SKU001,72.0,340580.16,4730.28,0,340580.16,0.0,OK
2025-04-25,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-04-26,SKU001,63.0,298007.64,4730.28,0,298007.63999999996,5.820766091346741e-11,OK
2025-04-27,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-04-28,SKU001,33.0,156099.24,4730.28,0,156099.24,0.0,OK
2025-04-29,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-04-30,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-05-01,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-05-02,SKU001,71.0,335849.88,4730.28,0,335849.88,0.0,OK
2025-05-03,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-05-04,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-05-05,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-05-06,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK
2025-05-07,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-05-08,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-05-09,SKU001,61.0,288547.08,4730.28,0,288547.07999999996,5.820766091346741e-11,OK
2025-05-10,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-05-11,SKU001,37.0,175020.36,4730.28,0,175020.36,0.0,OK
2025-05-12,SKU001,39.0,184480.92,4730.28,0,184480.91999999998,2.9103830456733704e-11,OK
2025-05-13,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-05-14,SKU001,41.0,193941.48,4730.28,0,193941.47999999998,2.9103830456733704e-11,OK
2025-05-15,SKU001,41.0,193941.48,4730.28,0,193941.47999999998,2.9103830456733704e-11,OK
2025-05-16,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-05-17,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-05-18,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-05-19,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-05-20,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-05-21,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-05-22,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-05-23,SKU001,53.0,250704.84,4730.28,0,250704.84,0.0,OK
2025-05-24,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-05-25,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-05-26,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-05-27,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-05-28,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-05-29,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-05-30,SKU001,53.0,250704.84,4730.28,0,250704.84,0.0,OK
2025-05-31,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-06-01,SKU001,66.0,312198.48,4730.28,0,312198.48,0.0,OK
2025-06-02,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-06-03,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-06-04,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-06-05,SKU001,53.0,250704.84,4730.28,0,250704.84,0.0,OK
2025-06-06,SKU001,80.0,378422.4,4730.28,0,378422.39999999997,5.820766091346741e-11,OK
2025-06-07,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-06-08,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-06-09,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-06-10,SKU001,78.0,339444.89,4730.28,1,368961.83999999997,-29516.949999999953,REVENUE_MISMATCH
2025-06-11,SKU001,81.0,352500.47,4730.28,1,383152.68,-30652.21000000002,REVENUE_MISMATCH
2025-06-12,SKU001,57.0,248055.88,4730.28,1,269625.95999999996,-21570.079999999958,REVENUE_MISMATCH
2025-06-13,SKU001,86.0,374259.75,4730.28,1,406804.07999999996,-32544.329999999958,REVENUE_MISMATCH
2025-06-14,SKU001,63.0,274167.03,4730.28,1,298007.63999999996,-23840.609999999928,REVENUE_MISMATCH
2025-06-15,SKU001,65.0,282870.74,4730.28,1,307468.2,-24597.46000000002,REVENUE_MISMATCH
2025-06-16,SKU001,70.0,304630.03,4730.28,1,331119.6,-26489.56999999995,REVENUE_MISMATCH
2025-06-17,SKU001,68.0,295926.32,4730.28,1,321659.04,-25732.719999999972,REVENUE_MISMATCH
2025-06-18,SKU001,73.0,317685.6,4730.28,1,345310.44,-27624.840000000026,REVENUE_MISMATCH
2025-06-19,SKU001,59.0,256759.6,4730.28,1,279086.51999999996,-22326.919999999955,REVENUE_MISMATCH
2025-06-20,SKU001,77.0,335093.04,4730.28,1,364231.56,-29138.52000000002,REVENUE_MISMATCH
2025-06-21,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-06-22,SKU001,38.0,179750.64,4730.28,0,179750.63999999998,2.9103830456733704e-11,OK
2025-06-23,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-06-24,SKU001,70.0,331119.6,4730.28,0,331119.6,0.0,OK
2025-06-25,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-06-26,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-06-27,SKU001,74.0,350040.72,4730.28,0,350040.72,0.0,OK
2025-06-28,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-06-29,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-06-30,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-07-01,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-07-02,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-07-03,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-07-04,SKU001,71.0,335849.88,4730.28,0,335849.88,0.0,OK
2025-07-05,SKU001,73.0,345310.44,4730.28,0,345310.44,0.0,OK
2025-07-06,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-07-07,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-07-08,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-07-09,SKU001,56.0,264895.68,4730.28,0,264895.68,0.0,OK
2025-07-10,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-07-11,SKU001,53.0,250704.84,4730.28,0,250704.84,0.0,OK
2025-07-12,SKU001,76.0,359501.28,4730.28,0,359501.27999999997,5.820766091346741e-11,OK
2025-07-13,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-07-14,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-07-15,SKU001,85.0,402073.8,4730.28,0,402073.8,0.0,OK
2025-07-16,SKU001,53.0,250704.84,4730.28,0,250704.84,0.0,OK
2025-07-17,SKU001,68.0,321659.04,4730.28,0,321659.04,0.0,OK
2025-07-18,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-07-19,SKU001,82.0,387882.96,4730.28,0,387882.95999999996,5.820766091346741e-11,OK
2025-07-20,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-07-21,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-07-22,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-07-23,SKU001,56.0,264895.68,4730.28,0,264895.68,0.0,OK
2025-07-24,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-07-25,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-07-26,SKU001,94.0,444646.32,4730.28,0,444646.31999999995,5.820766091346741e-11,OK
2025-07-27,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-07-28,SKU001,64.0,302737.92,4730.28,0,302737.92,0.0,OK
2025-07-29,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-07-30,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-07-31,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-08-01,SKU001,67.0,316928.76,4730.28,0,316928.76,0.0,OK
2025-08-02,SKU001,66.0,312198.48,4730.28,0,312198.48,0.0,OK
2025-08-03,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-08-04,SKU001,41.0,193941.48,4730.28,0,193941.47999999998,2.9103830456733704e-11,OK
2025-08-05,SKU001,61.0,288547.08,4730.28,0,288547.07999999996,5.820766091346741e-11,OK
2025-08-06,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-08-07,SKU001,68.0,321659.04,4730.28,0,321659.04,0.0,OK
2025-08-08,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-08-09,SKU001,72.0,340580.16,4730.28,0,340580.16,0.0,OK
2025-08-10,SKU001,43.0,203402.04,4730.28,0,203402.03999999998,2.9103830456733704e-11,OK
2025-08-11,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-08-12,SKU001,44.0,208132.32,4730.28,0,208132.31999999998,2.9103830456733704e-11,OK
2025-08-13,SKU001,69.0,326389.32,4730.28,0,326389.32,0.0,OK
2025-08-14,SKU001,59.0,279086.52,4730.28,0,279086.51999999996,5.820766091346741e-11,OK
2025-08-15,SKU001,101.0,477758.28,4730.28,0,477758.27999999997,5.820766091346741e-11,OK
2025-08-16,SKU001,70.0,331119.6,4730.28,0,331119.6,0.0,OK
2025-08-17,SKU001,64.0,302737.92,4730.28,0,302737.92,0.0,OK
2025-08-18,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-08-19,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-08-20,SKU001,82.0,387882.96,4730.28,0,387882.95999999996,5.820766091346741e-11,OK
2025-08-21,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-08-22,SKU001,86.0,406804.08,4730.28,0,406804.07999999996,5.820766091346741e-11,OK
2025-08-23,SKU001,38.0,179750.64,4730.28,0,179750.63999999998,2.9103830456733704e-11,OK
2025-08-24,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-08-25,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-08-26,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-08-27,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-08-28,SKU001,81.0,383152.68,4730.28,0,383152.68,0.0,OK
2025-08-29,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-08-30,SKU001,65.0,307468.2,4730.28,0,307468.2,0.0,OK
2025-08-31,SKU001,58.0,274356.24,4730.28,0,274356.24,0.0,OK
2025-09-01,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-09-02,SKU001,45.0,212862.6,4730.28,0,212862.59999999998,2.9103830456733704e-11,OK
2025-09-03,SKU001,61.0,288547.08,4730.28,0,288547.07999999996,5.820766091346741e-11,OK
2025-09-04,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-09-05,SKU001,60.0,283816.8,4730.28,0,283816.8,0.0,OK
2025-09-06,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-09-07,SKU001,63.0,298007.64,4730.28,0,298007.63999999996,5.820766091346741e-11,OK
2025-09-08,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK
2025-09-09,SKU001,43.0,203402.04,4730.28,0,203402.03999999998,2.9103830456733704e-11,OK
2025-09-10,SKU001,44.0,208132.32,4730.28,0,208132.31999999998,2.9103830456733704e-11,OK
2025-09-11,SKU001,28.0,132447.84,4730.28,0,132447.84,0.0,OK
2025-09-12,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-09-13,SKU001,67.0,316928.76,4730.28,0,316928.76,0.0,OK
2025-09-14,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-09-15,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-09-16,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-09-17,SKU001,48.0,227053.44,4730.28,0,227053.44,0.0,OK
2025-09-18,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-09-19,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-09-20,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-09-21,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-09-22,SKU001,47.0,222323.16,4730.28,0,222323.15999999997,2.9103830456733704e-11,OK
2025-09-23,SKU001,36.0,170290.08,4730.28,0,170290.08,0.0,OK
2025-09-24,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-09-25,SKU001,42.0,198671.76,4730.28,0,198671.75999999998,2.9103830456733704e-11,OK
2025-09-26,SKU001,70.0,331119.6,4730.28,0,331119.6,0.0,OK
2025-09-27,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-09-28,SKU001,43.0,203402.04,4730.28,0,203402.03999999998,2.9103830456733704e-11,OK
2025-09-29,SKU001,31.0,146638.68,4730.28,0,146638.68,0.0,OK
2025-09-30,SKU001,40.0,189211.2,4730.28,0,189211.19999999998,2.9103830456733704e-11,OK
2025-10-01,SKU001,60.0,261111.46,4730.28,1,283816.8,-22705.339999999997,REVENUE_MISMATCH
2025-10-02,SKU001,101.0,439537.62,4730.28,1,477758.27999999997,-38220.659999999974,REVENUE_MISMATCH
2025-10-03,SKU001,76.0,330741.18,4730.28,1,359501.27999999997,-28760.099999999977,REVENUE_MISMATCH
2025-10-04,SKU001,94.0,409074.61,4730.28,1,444646.31999999995,-35571.70999999996,REVENUE_MISMATCH
2025-10-05,SKU001,56.0,243704.03,4730.28,1,264895.68,-21191.649999999994,REVENUE_MISMATCH
2025-10-06,SKU001,68.0,295926.32,4730.28,1,321659.04,-25732.719999999972,REVENUE_MISMATCH
2025-10-07,SKU001,54.0,235000.31,4730.28,1,255435.12,-20434.809999999998,REVENUE_MISMATCH
2025-10-08,SKU001,59.0,256759.6,4730.28,1,279086.51999999996,-22326.919999999955,REVENUE_MISMATCH
2025-10-09,SKU001,71.0,308981.89,4730.28,1,335849.88,-26867.98999999999,REVENUE_MISMATCH
2025-10-10,SKU001,61.0,265463.31,4730.28,1,288547.07999999996,-23083.76999999996,REVENUE_MISMATCH
2025-10-11,SKU001,62.0,293277.36,4730.28,0,293277.36,0.0,OK
2025-10-12,SKU001,63.0,298007.64,4730.28,0,298007.63999999996,5.820766091346741e-11,OK
2025-10-13,SKU001,50.0,236514.0,4730.28,0,236514.0,0.0,OK
2025-10-14,SKU001,51.0,241244.28,4730.28,0,241244.28,0.0,OK
2025-10-15,SKU001,70.0,331119.6,4730.28,0,331119.6,0.0,OK
2025-10-16,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-10-17,SKU001,73.0,345310.44,4730.28,0,345310.44,0.0,OK
2025-10-18,SKU001,52.0,245974.56,4730.28,0,245974.56,0.0,OK
2025-10-19,SKU001,55.0,260165.4,4730.28,0,260165.4,0.0,OK
2025-10-20,SKU001,54.0,255435.12,4730.28,0,255435.12,0.0,OK
2025-10-21,SKU001,46.0,217592.88,4730.28,0,217592.87999999998,2.9103830456733704e-11,OK
2025-10-22,SKU001,57.0,269625.96,4730.28,0,269625.95999999996,5.820766091346741e-11,OK
2025-10-23,SKU001,49.0,231783.72,4730.28,0,231783.72,0.0,OK
2025-10-24,SKU001,66.0,312198.48,4730.28,0,312198.48,0.0,OK
2025-10-25,SKU001,71.0,335849.88,4730.28,0,335849.88,0.0,OK
2025-10-26,SKU001,38.0,179750.64,4730.28,0,179750.63999999998,2.9103830456733704e-11,OK
