actual_demand,baseline_forecast,error,absolute_error,cumulative_error,calculated_error,calculated_absolute_error,percentage_error,forecast_accuracy
2577.0,2262.0,315.0,315.0,9409.0,315.0,315.0,12.223515715948778,87.77648428405122
2497.0,2262.0,235.0,235.0,9644.0,235.0,235.0,9.411293552262716,90.5887064477373
2243.0,2262.0,-19.0,19.0,9625.0,-19.0,19.0,0.8470798038341507,99.15292019616585
2036.0,2262.0,-226.0,226.0,9399.0,-226.0,226.0,11.100196463654225,88.89980353634577
2324.0,2262.0,62.0,62.0,9461.0,62.0,62.0,2.667814113597246,97.33218588640275
2284.0,2262.0,22.0,22.0,9483.0,22.0,22.0,0.9632224168126094,99.03677758318739
2237.0,2262.0,-25.0,25.0,9458.0,-25.0,25.0,1.117568171658471,98.88243182834154
2540.0,2262.0,278.0,278.0,9736.0,278.0,278.0,10.94488188976378,89.05511811023622
2486.0,2262.0,224.0,224.0,9960.0,224.0,224.0,9.010458567980692,90.98954143201931
2236.0,2262.0,-26.0,26.0,9934.0,-26.0,26.0,1.1627906976744187,98.83720930232558
1957.0,2262.0,-305.0,305.0,9629.0,-305.0,305.0,15.585079202861523,84.41492079713848
2173.0,2262.0,-89.0,89.0,9540.0,-89.0,89.0,4.095720202485044,95.90427979751496
2315.0,2262.0,53.0,53.0,9593.0,53.0,53.0,2.289416846652268,97.71058315334773
2354.0,2262.0,92.0,92.0,9685.0,92.0,92.0,3.908241291418862,96.09175870858114
2763.0,2262.0,501.0,501.0,10186.0,501.0,501.0,18.13246471226927,81.86753528773073
2655.0,2262.0,393.0,393.0,10579.0,393.0,393.0,14.80225988700565,85.19774011299435
2232.0,2262.0,-30.0,30.0,10549.0,-30.0,30.0,1.3440860215053763,98.65591397849462
1995.0,2262.0,-267.0,267.0,10282.0,-267.0,267.0,13.383458646616543,86.61654135338345
2208.0,2262.0,-54.0,54.0,10228.0,-54.0,54.0,2.4456521739130435,97.55434782608695
2164.0,2262.0,-98.0,98.0,10130.0,-98.0,98.0,4.5286506469500925,95.4713493530499
2203.0,2262.0,-59.0,59.0,10071.0,-59.0,59.0,2.678166137085792,97.3218338629142
2667.0,2262.0,405.0,405.0,10476.0,405.0,405.0,15.185601799775029,84.81439820022497
2704.0,2262.0,442.0,442.0,10918.0,442.0,442.0,16.346153846153847,83.65384615384616
2291.0,2262.0,29.0,29.0,10947.0,29.0,29.0,1.2658227848101267,98.73417721518987
2066.0,2262.0,-196.0,196.0,10751.0,-196.0,196.0,9.486931268151016,90.51306873184899
2231.0,2262.0,-31.0,31.0,10720.0,-31.0,31.0,1.3895114298520843,98.61048857014791
2265.0,2262.0,3.0,3.0,10723.0,3.0,3.0,0.13245033112582782,99.86754966887416
2308.0,2262.0,46.0,46.0,10769.0,46.0,46.0,1.9930675909878681,98.00693240901212
2660.0,2262.0,398.0,398.0,11167.0,398.0,398.0,14.962406015037594,85.0375939849624
2770.0,2262.0,508.0,508.0,11675.0,508.0,508.0,18.339350180505416,81.6606498194946
2164.0,2262.0,-98.0,98.0,11577.0,-98.0,98.0,4.5286506469500925,95.4713493530499
2076.0,2262.0,-186.0,186.0,11391.0,-186.0,186.0,8.959537572254336,91.04046242774567
2327.0,2262.0,65.0,65.0,11456.0,65.0,65.0,2.793296089385475,97.20670391061452
2228.0,2262.0,-34.0,34.0,11422.0,-34.0,34.0,1.526032315978456,98.47396768402155
2322.0,2262.0,60.0,60.0,11482.0,60.0,60.0,2.5839793281653747,97.41602067183463
2672.0,2262.0,410.0,410.0,11892.0,410.0,410.0,15.344311377245509,84.65568862275448
2531.0,2262.0,269.0,269.0,12161.0,269.0,269.0,10.628210193599367,89.37178980640064
2187.0,2262.0,-75.0,75.0,12086.0,-75.0,75.0,3.4293552812071333,96.57064471879286
2045.0,2262.0,-217.0,217.0,11869.0,-217.0,217.0,10.611246943765282,89.38875305623472
2177.0,2262.0,-85.0,85.0,11784.0,-85.0,85.0,3.904455672944419,96.09554432705558
2309.0,2262.0,47.0,47.0,11831.0,47.0,47.0,2.0355132091814636,97.96448679081854
2221.0,2262.0,-41.0,41.0,11790.0,-41.0,41.0,1.846015308419631,98.15398469158036
2626.0,2262.0,364.0,364.0,12154.0,364.0,364.0,13.861386138613863,86.13861386138613
2514.0,2262.0,252.0,252.0,12406.0,252.0,252.0,10.023866348448687,89.97613365155132
2785.0,2262.0,523.0,523.0,12929.0,523.0,523.0,18.779174147217233,81.22082585278277
2045.0,2262.0,-217.0,217.0,12712.0,-217.0,217.0,10.611246943765282,89.38875305623472
2508.0,2262.0,246.0,246.0,12958.0,246.0,246.0,9.808612440191387,90.19138755980862
2072.0,2262.0,-190.0,190.0,12768.0,-190.0,190.0,9.16988416988417,90.83011583011583
2319.0,2262.0,57.0,57.0,12825.0,57.0,57.0,2.457956015523933,97.54204398447607
2592.0,2262.0,330.0,330.0,13155.0,330.0,330.0,12.731481481481483,87.2685185185185
2612.0,2262.0,350.0,350.0,13505.0,350.0,350.0,13.39969372128637,86.60030627871362
2326.0,2262.0,64.0,64.0,13569.0,64.0,64.0,2.751504729148753,97.24849527085124
2435.0,2262.0,173.0,173.0,13742.0,173.0,173.0,7.104722792607802,92.8952772073922
2612.0,2262.0,350.0,350.0,14092.0,350.0,350.0,13.39969372128637,86.60030627871362
2500.0,2262.0,238.0,238.0,14330.0,238.0,238.0,9.520000000000001,90.48
2517.0,2262.0,255.0,255.0,14585.0,255.0,255.0,10.131108462455304,89.8688915375447
2960.0,2262.0,698.0,698.0,15283.0,698.0,698.0,23.58108108108108,76.41891891891892
2938.0,2262.0,676.0,676.0,15959.0,676.0,676.0,23.008849557522122,76.99115044247787
2558.0,2262.0,296.0,296.0,16255.0,296.0,296.0,11.571540265832683,88.42845973416732
2369.0,2262.0,107.0,107.0,16362.0,107.0,107.0,4.51667370198396,95.48332629801604
2435.0,2262.0,173.0,173.0,16535.0,173.0,173.0,7.104722792607802,92.8952772073922
3273.0,2262.0,1011.0,1011.0,17546.0,1011.0,1011.0,30.889092575618697,69.11090742438131
3364.0,2262.0,1102.0,1102.0,18648.0,1102.0,1102.0,32.758620689655174,67.24137931034483
4084.0,2262.0,1822.0,1822.0,20470.0,1822.0,1822.0,44.613124387855045,55.38687561214495
3918.0,2262.0,1656.0,1656.0,22126.0,1656.0,1656.0,42.266462480857584,57.733537519142416
3400.0,2262.0,1138.0,1138.0,23264.0,1138.0,1138.0,33.470588235294116,66.52941176470588
3090.0,2262.0,828.0,828.0,24092.0,828.0,828.0,26.796116504854368,73.20388349514563
3408.0,2262.0,1146.0,1146.0,25238.0,1146.0,1146.0,33.62676056338028,66.37323943661973
3470.0,2262.0,1208.0,1208.0,26446.0,1208.0,1208.0,34.81268011527378,65.18731988472622
3501.0,2262.0,1239.0,1239.0,27685.0,1239.0,1239.0,35.38988860325622,64.61011139674379
4166.0,2262.0,1904.0,1904.0,29589.0,1904.0,1904.0,45.7033125300048,54.2966874699952
3849.0,2262.0,1587.0,1587.0,31176.0,1587.0,1587.0,41.23148869836321,58.768511301636785
2493.0,2262.0,231.0,231.0,31407.0,231.0,231.0,9.265944645006016,90.73405535499398
2279.0,2262.0,17.0,17.0,31424.0,17.0,17.0,0.7459412022817025,99.25405879771829
2586.0,2262.0,324.0,324.0,31748.0,324.0,324.0,12.529002320185615,87.47099767981439
2579.0,2262.0,317.0,317.0,32065.0,317.0,317.0,12.291585886002327,87.70841411399768
2660.0,2262.0,398.0,398.0,32463.0,398.0,398.0,14.962406015037594,85.0375939849624
3104.0,2262.0,842.0,842.0,33305.0,842.0,842.0,27.12628865979381,72.8737113402062
3069.0,2262.0,807.0,807.0,34112.0,807.0,807.0,26.295210166177906,73.70478983382209
2648.0,2262.0,386.0,386.0,34498.0,386.0,386.0,14.577039274924472,85.42296072507553
2263.0,2262.0,1.0,1.0,34499.0,1.0,1.0,0.04418912947414936,99.95581087052585
2569.0,2262.0,307.0,307.0,34806.0,307.0,307.0,11.950175165434022,88.04982483456598
