date,sku_id,category,subcategory,units_sold,on_hand_units,on_order_units,lead_time_days,reorder_point,inventory_position,target_inventory,recommended_order_qty,inventory_risk,recommendation_priority,recommendation
2025-03-02,SKU001,Furniture,Chair,51.0,0.0,114,6.0,255,114.0,255,141,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-03,SKU001,Furniture,Chair,43.0,0.0,118,6.0,255,118.0,255,137,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-04,SKU001,Furniture,Chair,48.0,0.0,89,6.0,255,89.0,255,166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-05,SKU001,Furniture,Chair,58.0,0.0,168,6.0,255,168.0,255,87,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-06,SKU001,Furniture,Chair,44.0,123.0,0,6.0,255,123.0,255,132,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-07,SKU001,Furniture,Chair,64.0,59.0,86,6.0,255,145.0,255,110,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-08,SKU001,Furniture,Chair,50.0,9.0,61,6.0,255,70.0,255,185,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-09,SKU001,Furniture,Chair,52.0,0.0,106,6.0,255,106.0,255,149,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-10,SKU001,Furniture,Chair,41.0,0.0,50,6.0,255,50.0,255,205,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-11,SKU001,Furniture,Chair,40.0,0.0,72,6.0,255,72.0,255,183,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-12,SKU001,Furniture,Chair,59.0,30.0,0,6.0,255,30.0,255,225,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-13,SKU001,Furniture,Chair,48.0,0.0,89,6.0,255,89.0,255,166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-14,SKU001,Furniture,Chair,54.0,0.0,54,6.0,255,54.0,255,201,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-15,SKU001,Furniture,Chair,69.0,0.0,110,6.0,255,110.0,255,145,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-16,SKU001,Furniture,Chair,45.0,0.0,128,6.0,255,128.0,255,127,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-17,SKU001,Furniture,Chair,42.0,0.0,128,6.0,255,128.0,255,127,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-18,SKU001,Furniture,Chair,34.0,126.0,0,6.0,255,126.0,255,129,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-19,SKU001,Furniture,Chair,46.0,80.0,37,6.0,255,117.0,255,138,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-20,SKU001,Furniture,Chair,59.0,21.0,50,6.0,255,71.0,255,184,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-21,SKU001,Furniture,Chair,73.0,0.0,98,6.0,255,98.0,255,157,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-22,SKU001,Furniture,Chair,80.0,0.0,106,6.0,255,106.0,255,149,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-23,SKU001,Furniture,Chair,81.0,0.0,59,6.0,255,59.0,255,196,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-24,SKU001,Furniture,Chair,52.0,23.0,0,6.0,255,23.0,255,232,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-25,SKU001,Furniture,Chair,53.0,0.0,51,6.0,255,51.0,255,204,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-26,SKU001,Furniture,Chair,69.0,0.0,116,6.0,255,116.0,255,139,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-27,SKU001,Furniture,Chair,54.0,0.0,105,6.0,255,105.0,255,150,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-28,SKU001,Furniture,Chair,69.0,0.0,141,6.0,255,141.0,255,114,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-29,SKU001,Furniture,Chair,64.0,0.0,131,6.0,255,131.0,255,124,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-30,SKU001,Furniture,Chair,47.0,23.0,0,6.0,255,23.0,255,232,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-03-31,SKU001,Furniture,Chair,44.0,0.0,153,6.0,255,153.0,255,102,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-01,SKU001,Furniture,Chair,59.0,0.0,50,6.0,255,50.0,255,205,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-02,SKU001,Furniture,Chair,71.0,0.0,131,6.0,255,131.0,255,124,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-03,SKU001,Furniture,Chair,38.0,0.0,129,6.0,255,129.0,255,126,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-04,SKU001,Furniture,Chair,60.0,0.0,64,6.0,255,64.0,255,191,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-05,SKU001,Furniture,Chair,69.0,0.0,57,6.0,255,57.0,255,198,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-06,SKU001,Furniture,Chair,37.0,5.0,0,6.0,255,5.0,255,250,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-07,SKU001,Furniture,Chair,57.0,0.0,129,6.0,255,129.0,255,126,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-08,SKU001,Furniture,Chair,47.0,0.0,86,6.0,255,86.0,255,169,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-09,SKU001,Furniture,Chair,35.0,0.0,193,6.0,255,193.0,255,62,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-10,SKU001,Furniture,Chair,42.0,0.0,132,6.0,255,132.0,255,123,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-11,SKU001,Furniture,Chair,48.0,0.0,25,6.0,255,25.0,255,230,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-12,SKU001,Furniture,Chair,66.0,21.0,0,6.0,255,21.0,255,234,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-13,SKU001,Furniture,Chair,57.0,0.0,26,6.0,255,26.0,255,229,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-14,SKU001,Furniture,Chair,46.0,0.0,130,6.0,255,130.0,255,125,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-15,SKU001,Furniture,Chair,69.0,0.0,180,6.0,255,180.0,255,75,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-16,SKU001,Furniture,Chair,50.0,0.0,150,6.0,255,150.0,255,105,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-17,SKU001,Furniture,Chair,55.0,0.0,69,6.0,255,69.0,255,186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-18,SKU001,Furniture,Chair,52.0,2.0,0,6.0,255,2.0,255,253,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-19,SKU001,Furniture,Chair,40.0,0.0,173,6.0,255,173.0,255,82,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-20,SKU001,Furniture,Chair,37.0,0.0,44,6.0,255,44.0,255,211,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-21,SKU001,Furniture,Chair,54.0,0.0,144,6.0,255,144.0,255,111,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-22,SKU001,Furniture,Chair,66.0,0.0,65,6.0,255,65.0,255,190,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-23,SKU001,Furniture,Chair,48.0,0.0,75,6.0,255,75.0,255,180,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-24,SKU001,Furniture,Chair,72.0,0.0,0,6.0,255,0.0,255,255,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-25,SKU001,Furniture,Chair,45.0,0.0,53,6.0,255,53.0,255,202,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-26,SKU001,Furniture,Chair,63.0,0.0,30,6.0,255,30.0,255,225,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-27,SKU001,Furniture,Chair,42.0,0.0,112,6.0,255,112.0,255,143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-28,SKU001,Furniture,Chair,33.0,0.0,100,6.0,255,100.0,255,155,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-29,SKU001,Furniture,Chair,51.0,0.0,114,6.0,255,114.0,255,141,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-04-30,SKU001,Furniture,Chair,51.0,0.0,0,6.0,255,0.0,255,255,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-01,SKU001,Furniture,Chair,58.0,0.0,161,6.0,255,161.0,255,94,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-02,SKU001,Furniture,Chair,71.0,0.0,45,6.0,255,45.0,255,210,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-03,SKU001,Furniture,Chair,49.0,0.0,165,6.0,255,165.0,255,90,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-04,SKU001,Furniture,Chair,58.0,0.0,78,6.0,255,78.0,255,177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-05,SKU001,Furniture,Chair,47.0,0.0,99,6.0,255,99.0,255,156,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-06,SKU001,Furniture,Chair,36.0,99.0,0,6.0,255,99.0,255,156,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-07,SKU001,Furniture,Chair,50.0,49.0,127,6.0,255,176.0,255,79,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-08,SKU001,Furniture,Chair,69.0,0.0,120,6.0,255,120.0,255,135,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-09,SKU001,Furniture,Chair,61.0,0.0,92,6.0,255,92.0,255,163,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-10,SKU001,Furniture,Chair,47.0,0.0,105,6.0,255,105.0,255,150,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-11,SKU001,Furniture,Chair,37.0,0.0,35,6.0,255,35.0,255,220,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-12,SKU001,Furniture,Chair,39.0,12.0,0,6.0,255,12.0,255,243,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-13,SKU001,Furniture,Chair,51.0,0.0,148,6.0,255,148.0,255,107,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-14,SKU001,Furniture,Chair,41.0,0.0,138,6.0,255,138.0,255,117,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-15,SKU001,Furniture,Chair,41.0,0.0,81,6.0,255,81.0,255,174,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-16,SKU001,Furniture,Chair,49.0,0.0,158,6.0,255,158.0,255,97,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-17,SKU001,Furniture,Chair,62.0,0.0,161,6.0,255,161.0,255,94,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-18,SKU001,Furniture,Chair,49.0,64.0,0,6.0,255,64.0,255,191,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-19,SKU001,Furniture,Chair,46.0,18.0,190,6.0,255,208.0,255,47,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-20,SKU001,Furniture,Chair,51.0,0.0,69,6.0,255,69.0,255,186,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-21,SKU001,Furniture,Chair,48.0,0.0,74,6.0,255,74.0,255,181,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-22,SKU001,Furniture,Chair,47.0,0.0,25,6.0,255,25.0,255,230,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-23,SKU001,Furniture,Chair,53.0,0.0,49,6.0,255,49.0,255,206,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-24,SKU001,Furniture,Chair,52.0,111.0,0,6.0,255,111.0,255,144,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-25,SKU001,Furniture,Chair,47.0,64.0,131,6.0,255,195.0,255,60,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-26,SKU001,Furniture,Chair,45.0,19.0,56,6.0,255,75.0,255,180,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-27,SKU001,Furniture,Chair,60.0,0.0,139,6.0,255,139.0,255,116,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-28,SKU001,Furniture,Chair,45.0,0.0,52,6.0,255,52.0,255,203,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-29,SKU001,Furniture,Chair,48.0,0.0,93,6.0,255,93.0,255,162,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-30,SKU001,Furniture,Chair,53.0,140.0,0,6.0,255,140.0,255,115,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-05-31,SKU001,Furniture,Chair,49.0,91.0,77,6.0,255,168.0,255,87,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-01,SKU001,Furniture,Chair,66.0,25.0,139,6.0,255,164.0,255,91,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-02,SKU001,Furniture,Chair,49.0,0.0,25,6.0,255,25.0,255,230,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-03,SKU001,Furniture,Chair,49.0,0.0,75,6.0,255,75.0,255,180,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-04,SKU001,Furniture,Chair,46.0,0.0,76,6.0,255,76.0,255,179,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-05,SKU001,Furniture,Chair,53.0,0.0,166,6.0,255,166.0,255,89,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-06,SKU001,Furniture,Chair,80.0,0.0,0,6.0,255,0.0,255,255,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-07,SKU001,Furniture,Chair,51.0,0.0,78,6.0,255,78.0,255,177,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-08,SKU001,Furniture,Chair,52.0,0.0,51,6.0,255,51.0,255,204,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-09,SKU001,Furniture,Chair,49.0,0.0,105,6.0,255,105.0,255,150,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-10,SKU001,Furniture,Chair,78.0,0.0,70,6.0,255,70.0,255,185,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-11,SKU001,Furniture,Chair,81.0,0.0,54,6.0,255,54.0,255,201,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-12,SKU001,Furniture,Chair,57.0,40.0,0,6.0,255,40.0,255,215,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-13,SKU001,Furniture,Chair,86.0,0.0,104,6.0,255,104.0,255,151,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-14,SKU001,Furniture,Chair,63.0,0.0,76,6.0,255,76.0,255,179,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-15,SKU001,Furniture,Chair,65.0,0.0,188,6.0,255,188.0,255,67,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-16,SKU001,Furniture,Chair,70.0,0.0,48,6.0,255,48.0,255,207,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-17,SKU001,Furniture,Chair,68.0,0.0,145,6.0,255,145.0,255,110,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-18,SKU001,Furniture,Chair,73.0,40.0,0,6.0,255,40.0,255,215,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-19,SKU001,Furniture,Chair,59.0,0.0,89,6.0,255,89.0,255,166,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-20,SKU001,Furniture,Chair,77.0,0.0,138,6.0,255,138.0,255,117,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-21,SKU001,Furniture,Chair,69.0,0.0,50,6.0,255,50.0,255,205,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-22,SKU001,Furniture,Chair,38.0,0.0,182,6.0,255,182.0,255,73,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-23,SKU001,Furniture,Chair,55.0,0.0,165,6.0,255,165.0,255,90,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-24,SKU001,Furniture,Chair,70.0,80.0,0,6.0,255,80.0,255,175,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-25,SKU001,Furniture,Chair,60.0,20.0,186,6.0,255,206.0,255,49,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-26,SKU001,Furniture,Chair,62.0,0.0,183,6.0,255,183.0,255,72,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-27,SKU001,Furniture,Chair,74.0,0.0,58,6.0,255,58.0,255,197,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-28,SKU001,Furniture,Chair,58.0,0.0,174,6.0,255,174.0,255,81,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-29,SKU001,Furniture,Chair,55.0,0.0,158,6.0,255,158.0,255,97,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-06-30,SKU001,Furniture,Chair,62.0,35.0,0,6.0,255,35.0,255,220,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-01,SKU001,Furniture,Chair,62.0,0.0,114,6.0,255,114.0,255,141,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-02,SKU001,Furniture,Chair,47.0,0.0,119,6.0,255,119.0,255,136,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-03,SKU001,Furniture,Chair,58.0,0.0,112,6.0,255,112.0,255,143,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-04,SKU001,Furniture,Chair,71.0,0.0,96,6.0,255,96.0,255,159,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-05,SKU001,Furniture,Chair,73.0,0.0,129,6.0,255,129.0,255,126,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
2025-07-06,SKU001,Furniture,Chair,48.0,116.0,0,6.0,255,116.0,255,139,STOCKOUT_RISK,HIGH,REPLENISH_STOCK
