date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2025-04-15,SKU001,0.0,180,6.0,255
2025-04-16,SKU001,0.0,150,6.0,255
2025-04-17,SKU001,0.0,69,6.0,255
2025-04-18,SKU001,2.0,0,6.0,255
2025-04-19,SKU001,0.0,173,6.0,255
2025-04-20,SKU001,0.0,44,6.0,255
2025-04-21,SKU001,0.0,144,6.0,255
2025-04-22,SKU001,0.0,65,6.0,255
2025-04-23,SKU001,0.0,75,6.0,255
2025-04-24,SKU001,0.0,0,6.0,255
2025-04-25,SKU001,0.0,53,6.0,255
2025-04-26,SKU001,0.0,30,6.0,255
2025-04-27,SKU001,0.0,112,6.0,255
2025-04-28,SKU001,0.0,100,6.0,255
2025-04-29,SKU001,0.0,114,6.0,255
2025-04-30,SKU001,0.0,0,6.0,255
2025-05-01,SKU001,0.0,161,6.0,255
2025-05-02,SKU001,0.0,45,6.0,255
2025-05-03,SKU001,0.0,165,6.0,255
2025-05-04,SKU001,0.0,78,6.0,255
2025-05-05,SKU001,0.0,99,6.0,255
2025-05-06,SKU001,99.0,0,6.0,255
2025-05-07,SKU001,49.0,127,6.0,255
2025-05-08,SKU001,0.0,120,6.0,255
2025-05-09,SKU001,0.0,92,6.0,255
2025-05-10,SKU001,0.0,105,6.0,255
2025-05-11,SKU001,0.0,35,6.0,255
2025-05-12,SKU001,12.0,0,6.0,255
2025-05-13,SKU001,0.0,148,6.0,255
2025-05-14,SKU001,0.0,138,6.0,255
2025-05-15,SKU001,0.0,81,6.0,255
2025-05-16,SKU001,0.0,158,6.0,255
2025-05-17,SKU001,0.0,161,6.0,255
2025-05-18,SKU001,64.0,0,6.0,255
2025-05-19,SKU001,18.0,190,6.0,255
2025-05-20,SKU001,0.0,69,6.0,255
2025-05-21,SKU001,0.0,74,6.0,255
2025-05-22,SKU001,0.0,25,6.0,255
2025-05-23,SKU001,0.0,49,6.0,255
2025-05-24,SKU001,111.0,0,6.0,255
2025-05-25,SKU001,64.0,131,6.0,255
2025-05-26,SKU001,19.0,56,6.0,255
2025-05-27,SKU001,0.0,139,6.0,255
2025-05-28,SKU001,0.0,52,6.0,255
2025-05-29,SKU001,0.0,93,6.0,255
2025-05-30,SKU001,140.0,0,6.0,255
2025-05-31,SKU001,91.0,77,6.0,255
2025-06-01,SKU001,25.0,139,6.0,255
2025-06-02,SKU001,0.0,25,6.0,255
2025-06-03,SKU001,0.0,75,6.0,255
2025-06-04,SKU001,0.0,76,6.0,255
2025-06-05,SKU001,0.0,166,6.0,255
2025-06-06,SKU001,0.0,0,6.0,255
2025-06-07,SKU001,0.0,78,6.0,255
2025-06-08,SKU001,0.0,51,6.0,255
2025-06-09,SKU001,0.0,105,6.0,255
2025-06-10,SKU001,0.0,70,6.0,255
2025-06-11,SKU001,0.0,54,6.0,255
2025-06-12,SKU001,40.0,0,6.0,255
2025-06-13,SKU001,0.0,104,6.0,255
2025-06-14,SKU001,0.0,76,6.0,255
2025-06-15,SKU001,0.0,188,6.0,255
2025-06-16,SKU001,0.0,48,6.0,255
2025-06-17,SKU001,0.0,145,6.0,255
2025-06-18,SKU001,40.0,0,6.0,255
2025-06-19,SKU001,0.0,89,6.0,255
2025-06-20,SKU001,0.0,138,6.0,255
2025-06-21,SKU001,0.0,50,6.0,255
2025-06-22,SKU001,0.0,182,6.0,255
2025-06-23,SKU001,0.0,165,6.0,255
2025-06-24,SKU001,80.0,0,6.0,255
2025-06-25,SKU001,20.0,186,6.0,255
2025-06-26,SKU001,0.0,183,6.0,255
2025-06-27,SKU001,0.0,58,6.0,255
2025-06-28,SKU001,0.0,174,6.0,255
2025-06-29,SKU001,0.0,158,6.0,255
2025-06-30,SKU001,35.0,0,6.0,255
2025-07-01,SKU001,0.0,114,6.0,255
2025-07-02,SKU001,0.0,119,6.0,255
2025-07-03,SKU001,0.0,112,6.0,255
2025-07-04,SKU001,0.0,96,6.0,255
2025-07-05,SKU001,0.0,129,6.0,255
2025-07-06,SKU001,116.0,0,6.0,255
2025-07-07,SKU001,66.0,186,6.0,255
2025-07-08,SKU001,6.0,137,6.0,255
2025-07-09,SKU001,0.0,184,6.0,255
2025-07-10,SKU001,0.0,187,6.0,255
2025-07-11,SKU001,0.0,134,6.0,255
2025-07-12,SKU001,24.0,0,6.0,255
2025-07-13,SKU001,0.0,112,6.0,255
2025-07-14,SKU001,0.0,177,6.0,255
2025-07-15,SKU001,0.0,45,6.0,255
2025-07-16,SKU001,0.0,150,6.0,255
2025-07-17,SKU001,0.0,184,6.0,255
2025-07-18,SKU001,91.0,0,6.0,255
2025-07-19,SKU001,9.0,185,6.0,255
2025-07-20,SKU001,0.0,146,6.0,255
2025-07-21,SKU001,0.0,191,6.0,255
2025-07-22,SKU001,0.0,187,6.0,255
2025-07-23,SKU001,0.0,130,6.0,255
2025-07-24,SKU001,66.0,0,6.0,255
2025-07-25,SKU001,20.0,176,6.0,255
2025-07-26,SKU001,0.0,155,6.0,255
2025-07-27,SKU001,0.0,125,6.0,255
2025-07-28,SKU001,0.0,145,6.0,255
2025-07-29,SKU001,0.0,36,6.0,255
2025-07-30,SKU001,129.0,0,6.0,255
2025-07-31,SKU001,72.0,96,6.0,255
2025-08-01,SKU001,5.0,39,6.0,255
2025-08-02,SKU001,0.0,88,6.0,255
2025-08-03,SKU001,0.0,111,6.0,255
2025-08-04,SKU001,0.0,193,6.0,255
2025-08-05,SKU001,0.0,126,6.0,255
2025-08-06,SKU001,0.0,0,6.0,255
2025-08-07,SKU001,0.0,36,6.0,255
2025-08-08,SKU001,0.0,93,6.0,255
2025-08-09,SKU001,0.0,170,6.0,255
2025-08-10,SKU001,0.0,85,6.0,255
2025-08-11,SKU001,0.0,191,6.0,255
2025-08-12,SKU001,0.0,0,6.0,255
2025-08-13,SKU001,0.0,117,6.0,255
2025-08-14,SKU001,0.0,190,6.0,255
2025-08-15,SKU001,0.0,106,6.0,255
2025-08-16,SKU001,0.0,110,6.0,255
2025-08-17,SKU001,0.0,78,6.0,255
2025-08-18,SKU001,118.0,0,6.0,255
2025-08-19,SKU001,64.0,182,6.0,255
2025-08-20,SKU001,0.0,96,6.0,255
2025-08-21,SKU001,0.0,179,6.0,255
2025-08-22,SKU001,0.0,47,6.0,255
2025-08-23,SKU001,0.0,138,6.0,255
2025-08-24,SKU001,30.0,0,6.0,255
2025-08-25,SKU001,0.0,42,6.0,255
2025-08-26,SKU001,0.0,129,6.0,255
2025-08-27,SKU001,0.0,116,6.0,255
2025-08-28,SKU001,0.0,120,6.0,255
2025-08-29,SKU001,0.0,149,6.0,255
2025-08-30,SKU001,40.0,0,6.0,255
2025-08-31,SKU001,0.0,88,6.0,255
2025-09-01,SKU001,0.0,150,6.0,255
2025-09-02,SKU001,0.0,147,6.0,255
2025-09-03,SKU001,0.0,113,6.0,255
2025-09-04,SKU001,0.0,129,6.0,255
2025-09-05,SKU001,0.0,110,6.0,255
2025-09-06,SKU001,82.0,0,6.0,255
2025-09-07,SKU001,19.0,92,6.0,255
2025-09-08,SKU001,0.0,162,6.0,255
2025-09-09,SKU001,0.0,144,6.0,255
2025-09-10,SKU001,0.0,145,6.0,255
2025-09-11,SKU001,0.0,190,6.0,255
2025-09-12,SKU001,60.0,0,6.0,255
2025-09-13,SKU001,0.0,185,6.0,255
2025-09-14,SKU001,0.0,91,6.0,255
2025-09-15,SKU001,0.0,178,6.0,255
2025-09-16,SKU001,0.0,120,6.0,255
2025-09-17,SKU001,0.0,121,6.0,255
2025-09-18,SKU001,117.0,0,6.0,255
2025-09-19,SKU001,66.0,186,6.0,255
2025-09-20,SKU001,4.0,58,6.0,255
2025-09-21,SKU001,0.0,46,6.0,255
2025-09-22,SKU001,0.0,156,6.0,255
2025-09-23,SKU001,0.0,85,6.0,255
2025-09-24,SKU001,0.0,0,6.0,255
2025-09-25,SKU001,0.0,63,6.0,255
2025-09-26,SKU001,0.0,83,6.0,255
2025-09-27,SKU001,0.0,155,6.0,255
2025-09-28,SKU001,0.0,36,6.0,255
2025-09-29,SKU001,0.0,110,6.0,255
2025-09-30,SKU001,0.0,0,6.0,255
2025-10-01,SKU001,0.0,142,6.0,255
2025-10-02,SKU001,0.0,187,6.0,255
2025-10-03,SKU001,0.0,84,6.0,255
2025-10-04,SKU001,0.0,180,6.0,255
2025-10-05,SKU001,0.0,174,6.0,255
2025-10-06,SKU001,15.0,0,6.0,255
2025-10-07,SKU001,0.0,59,6.0,255
2025-10-08,SKU001,0.0,80,6.0,255
2025-10-09,SKU001,0.0,179,6.0,255
2025-10-10,SKU001,0.0,96,6.0,255
2025-10-11,SKU001,0.0,108,6.0,255
2025-10-12,SKU001,0.0,0,6.0,255
2025-10-13,SKU001,0.0,62,6.0,255
2025-10-14,SKU001,0.0,181,6.0,255
2025-10-15,SKU001,0.0,179,6.0,255
2025-10-16,SKU001,0.0,74,6.0,255
2025-10-17,SKU001,0.0,143,6.0,255
2025-10-18,SKU001,88.0,0,6.0,255
2025-10-19,SKU001,33.0,95,6.0,255
2025-10-20,SKU001,0.0,145,6.0,255
2025-10-21,SKU001,0.0,176,6.0,255
2025-10-22,SKU001,0.0,155,6.0,255
2025-10-23,SKU001,0.0,117,6.0,255
2025-10-24,SKU001,66.0,0,6.0,255
2025-10-25,SKU001,0.0,166,6.0,255
2025-10-26,SKU001,0.0,151,6.0,255
2025-10-27,SKU001,0.0,183,6.0,255
2025-10-28,SKU001,0.0,166,6.0,255
2025-10-29,SKU001,0.0,33,6.0,255
2025-10-30,SKU001,80.0,0,6.0,255
2025-10-31,SKU001,11.0,46,6.0,255
2025-11-01,SKU001,0.0,165,6.0,255
2025-11-02,SKU001,0.0,41,6.0,255
2025-11-03,SKU001,0.0,73,6.0,255
2025-11-04,SKU001,0.0,77,6.0,255
2025-11-05,SKU001,0.0,182,6.0,255
2025-11-06,SKU001,151.0,0,6.0,255
2025-11-07,SKU001,81.0,115,6.0,255
2025-11-08,SKU001,30.0,112,6.0,255
2025-11-09,SKU001,0.0,115,6.0,255
2025-11-10,SKU001,0.0,132,6.0,255
2025-11-11,SKU001,0.0,35,6.0,255
2025-11-12,SKU001,28.0,0,6.0,255
2025-11-13,SKU001,0.0,128,6.0,255
2025-11-14,SKU001,0.0,64,6.0,255
2025-11-15,SKU001,0.0,127,6.0,255
2025-11-16,SKU001,0.0,177,6.0,255
2025-11-17,SKU001,0.0,154,6.0,255
2025-11-18,SKU001,50.0,0,6.0,255
2025-11-19,SKU001,5.0,71,6.0,255
2025-11-20,SKU001,0.0,94,6.0,255
2025-11-21,SKU001,0.0,38,6.0,255
2025-11-22,SKU001,0.0,48,6.0,255
2025-11-23,SKU001,0.0,193,6.0,255
2025-11-24,SKU001,114.0,0,6.0,255
2025-11-25,SKU001,49.0,129,6.0,255
2025-11-26,SKU001,0.0,131,6.0,255
2025-11-27,SKU001,0.0,71,6.0,255
2025-11-28,SKU001,0.0,90,6.0,255
2025-11-29,SKU001,0.0,59,6.0,255
2025-11-30,SKU001,110.0,0,6.0,255
2025-12-01,SKU001,59.0,162,6.0,255
2025-12-02,SKU001,0.0,74,6.0,255
2025-12-03,SKU001,0.0,85,6.0,255
2025-12-04,SKU001,0.0,26,6.0,255
2025-12-05,SKU001,,69,6.0,255
2025-12-06,SKU001,11.0,0,6.0,255
2025-12-07,SKU001,0.0,50,6.0,255
2025-12-08,SKU001,0.0,179,6.0,255
2025-12-09,SKU001,0.0,28,6.0,255
2025-12-10,SKU001,0.0,119,6.0,255
2025-12-11,SKU001,0.0,95,6.0,255
2025-12-12,SKU001,27.0,0,6.0,255
2025-12-13,SKU001,0.0,49,6.0,255
2025-12-14,SKU001,0.0,158,6.0,255
2025-12-15,SKU001,0.0,79,6.0,255
2025-12-16,SKU001,0.0,140,6.0,255
2025-12-17,SKU001,0.0,77,6.0,255
2025-12-18,SKU001,112.0,0,6.0,255
2025-12-19,SKU001,10.0,62,6.0,255
2025-12-20,SKU001,0.0,165,6.0,255
2025-12-21,SKU001,0.0,150,6.0,255
2025-12-22,SKU001,0.0,171,6.0,255
2025-12-23,SKU001,0.0,191,6.0,255
2025-12-24,SKU001,54.0,0,6.0,255
2025-12-25,SKU001,0.0,148,6.0,255
2025-12-26,SKU001,0.0,121,6.0,255
2025-12-27,SKU001,0.0,176,6.0,255
2025-12-28,SKU001,0.0,128,6.0,255
2025-12-29,SKU001,0.0,167,6.0,255
2025-12-30,SKU001,0.0,0,6.0,255
2025-12-31,SKU001,0.0,31,6.0,255
2026-01-01,SKU001,0.0,41,6.0,255
2026-01-02,SKU001,0.0,135,6.0,255
2026-01-03,SKU001,0.0,166,6.0,255
2026-01-04,SKU001,0.0,65,6.0,255
2026-01-05,SKU001,0.0,124,6.0,255
2026-01-06,SKU001,64.0,0,6.0,255
2026-01-07,SKU001,0.0,136,6.0,255
2026-01-08,SKU001,0.0,63,6.0,255
2026-01-09,SKU001,0.0,61,6.0,255
2026-01-10,SKU001,0.0,156,6.0,255
2026-01-11,SKU001,0.0,32,6.0,255
2026-01-12,SKU001,99.0,0,6.0,255
2026-01-13,SKU001,52.0,36,6.0,255
2026-01-14,SKU001,0.0,41,6.0,255
2026-01-15,SKU001,0.0,65,6.0,255
2026-01-16,SKU001,0.0,82,6.0,255
2026-01-17,SKU001,0.0,191,6.0,255
2026-01-18,SKU001,40.0,0,6.0,255
2026-01-19,SKU001,0.0,97,6.0,255
2026-01-20,SKU001,0.0,155,6.0,255
2026-01-21,SKU001,0.0,70,6.0,255
2026-01-22,SKU001,0.0,125,6.0,255
2026-01-23,SKU001,0.0,143,6.0,255
2026-01-24,SKU001,98.0,0,6.0,255
2026-01-25,SKU001,48.0,45,6.0,255
2026-01-26,SKU001,0.0,135,6.0,255
2026-01-27,SKU001,0.0,25,6.0,255
2026-01-28,SKU001,0.0,108,6.0,255
2026-01-29,SKU001,0.0,85,6.0,255
2026-01-30,SKU001,100.0,0,6.0,255
2026-01-31,SKU001,36.0,147,6.0,255
2026-02-01,SKU001,0.0,141,6.0,255
2026-02-02,SKU001,0.0,53,6.0,255
2026-02-03,SKU001,0.0,76,6.0,255
2026-02-04,SKU001,0.0,73,6.0,255
2026-02-05,SKU001,0.0,57,6.0,255
2026-02-06,SKU001,34.0,0,6.0,255
2026-02-07,SKU001,0.0,96,6.0,255
2026-02-08,SKU001,0.0,83,6.0,255
2026-02-09,SKU001,0.0,159,6.0,255
2026-02-10,SKU001,0.0,141,6.0,255
2026-02-11,SKU001,0.0,159,6.0,255
2026-02-12,SKU001,104.0,0,6.0,255
2026-02-13,SKU001,37.0,61,6.0,255
2026-02-14,SKU001,0.0,184,6.0,255
2026-02-15,SKU001,0.0,134,6.0,255
2026-02-16,SKU001,0.0,159,6.0,255
2026-02-17,SKU001,0.0,181,6.0,255
2026-02-18,SKU001,89.0,0,6.0,255
2026-02-19,SKU001,32.0,119,6.0,255
2026-02-20,SKU001,0.0,105,6.0,255
2026-02-21,SKU001,0.0,117,6.0,255
2026-02-22,SKU001,0.0,172,6.0,255
2026-02-23,SKU001,0.0,35,6.0,255
2026-02-24,SKU001,47.0,0,6.0,255
2026-02-25,SKU001,0.0,72,6.0,255
2026-02-26,SKU001,0.0,100,6.0,255
2026-02-27,SKU001,0.0,126,6.0,255
2026-02-28,SKU001,0.0,155,6.0,255
2026-03-01,SKU001,0.0,25,6.0,255
2026-03-02,SKU001,0.0,97,6.0,255
2026-03-03,SKU001,0.0,73,6.0,255
2026-03-04,SKU001,0.0,149,6.0,255
2026-03-05,SKU001,0.0,70,6.0,255
2026-03-06,SKU001,11.0,0,6.0,255
2026-03-07,SKU001,0.0,53,6.0,255
2026-03-08,SKU001,0.0,109,6.0,255
2026-03-09,SKU001,0.0,33,6.0,255
2026-03-10,SKU001,0.0,142,6.0,255
2026-03-11,SKU001,0.0,174,6.0,255
2026-03-12,SKU001,10.0,0,6.0,255
2026-03-13,SKU001,0.0,108,6.0,255
2026-03-14,SKU001,0.0,173,6.0,255
2026-03-15,SKU001,0.0,168,6.0,255
2026-03-16,SKU001,0.0,157,6.0,255
2026-03-17,SKU001,0.0,55,6.0,255
2026-03-18,SKU001,10.0,0,6.0,255
2026-03-19,SKU001,0.0,191,6.0,255
2026-03-20,SKU001,0.0,65,6.0,255
2026-03-21,SKU001,0.0,46,6.0,255
2026-03-22,SKU001,0.0,94,6.0,255
2026-03-23,SKU001,0.0,49,6.0,255
2026-03-24,SKU001,48.0,0,6.0,255
2026-03-25,SKU001,0.0,129,6.0,255
2026-03-26,SKU001,0.0,91,6.0,255
2026-03-27,SKU001,0.0,67,6.0,255
2026-03-28,SKU001,0.0,102,6.0,255
2026-03-29,SKU001,0.0,158,6.0,255
2026-03-30,SKU001,118.0,0,6.0,255
2026-03-31,SKU001,71.0,25,6.0,255
2026-04-01,SKU001,22.0,31,6.0,255
2026-04-02,SKU001,0.0,179,6.0,255
2026-04-03,SKU001,0.0,62,6.0,255
2026-04-04,SKU001,0.0,93,6.0,255
2026-04-05,SKU001,0.0,43,6.0,255
2026-04-06,SKU001,29.0,0,6.0,255
2026-04-07,SKU001,0.0,153,6.0,255
2026-04-08,SKU001,,33,6.0,255
2026-04-09,SKU001,0.0,100,6.0,255
2026-04-10,SKU001,0.0,128,6.0,255
2026-04-11,SKU001,0.0,72,6.0,255
2026-04-12,SKU001,108.0,0,6.0,255
2026-04-13,SKU001,54.0,24,6.0,255
2026-04-14,SKU001,0.0,96,6.0,255
2026-04-15,SKU001,0.0,168,6.0,255
2026-04-16,SKU001,0.0,44,6.0,255
2026-04-17,SKU001,0.0,56,6.0,255
2026-04-18,SKU001,96.0,0,6.0,255
2026-04-19,SKU001,40.0,77,6.0,255
2026-04-20,SKU001,0.0,66,6.0,255
2026-04-21,SKU001,0.0,112,6.0,255
2026-04-22,SKU001,0.0,131,6.0,255
2026-04-23,SKU001,0.0,145,6.0,255
2026-04-24,SKU001,31.0,0,6.0,255
2026-04-25,SKU001,0.0,124,6.0,255
2026-04-26,SKU001,0.0,180,6.0,255
2026-04-27,SKU001,0.0,185,6.0,255
2026-04-28,SKU001,0.0,131,6.0,255
2026-04-29,SKU001,0.0,115,6.0,255
2026-04-30,SKU001,100.0,0,6.0,255
2026-05-01,SKU001,41.0,178,6.0,255
2026-05-02,SKU001,0.0,62,6.0,255
2026-05-03,SKU001,0.0,87,6.0,255
2026-05-04,SKU001,0.0,28,6.0,255
2026-05-05,SKU001,0.0,188,6.0,255
2026-05-06,SKU001,98.0,0,6.0,255
2026-05-07,SKU001,28.0,37,6.0,255
2026-05-08,SKU001,0.0,171,6.0,255
2026-05-09,SKU001,0.0,144,6.0,255
2026-05-10,SKU001,0.0,170,6.0,255
2026-05-11,SKU001,0.0,168,6.0,255
2026-05-12,SKU001,12.0,0,6.0,255
2026-05-13,SKU001,0.0,73,6.0,255
2026-05-14,SKU001,0.0,81,6.0,255
2026-05-15,SKU001,0.0,142,6.0,255
2026-05-16,SKU001,0.0,136,6.0,255
2026-05-17,SKU001,,107,6.0,255
2026-05-18,SKU001,55.0,0,6.0,255
2026-05-19,SKU001,1.0,100,6.0,255
2026-05-20,SKU001,0.0,79,6.0,255
2026-05-21,SKU001,0.0,162,6.0,255
2026-05-22,SKU001,0.0,121,6.0,255
2026-05-23,SKU001,0.0,154,6.0,255
2026-05-24,SKU001,0.0,0,6.0,255
2026-05-25,SKU001,0.0,66,6.0,255
2026-05-26,SKU001,0.0,93,6.0,255
2026-05-27,SKU001,0.0,62,6.0,255
2026-05-28,SKU001,0.0,127,6.0,255
2026-05-29,SKU001,0.0,145,6.0,255
2026-05-30,SKU001,0.0,0,6.0,255
2026-05-31,SKU001,0.0,26,6.0,255
2026-06-01,SKU001,0.0,127,6.0,255
2026-06-02,SKU001,0.0,190,6.0,255
2026-06-03,SKU001,0.0,79,6.0,255
2026-06-04,SKU001,0.0,131,6.0,255
2026-06-05,SKU001,0.0,32,6.0,255
2026-06-06,SKU001,59.0,0,6.0,255
2026-06-07,SKU001,15.0,119,6.0,255
2026-06-08,SKU001,0.0,120,6.0,255
2026-06-09,SKU001,0.0,106,6.0,255
2026-06-10,SKU001,0.0,100,6.0,255
2026-06-11,SKU001,0.0,171,6.0,255
2026-06-12,SKU001,0.0,0,6.0,255
2026-06-13,SKU001,0.0,87,6.0,255
2026-06-14,SKU001,0.0,94,6.0,255
2026-06-15,SKU001,0.0,164,6.0,255
2026-06-16,SKU001,0.0,90,6.0,255
2026-06-17,SKU001,0.0,39,6.0,255
2026-06-18,SKU001,0.0,0,6.0,255
2026-06-19,SKU001,0.0,44,6.0,255
2026-06-20,SKU001,0.0,126,6.0,255
2026-06-21,SKU001,0.0,114,6.0,255
2026-06-22,SKU001,0.0,66,6.0,255
2026-06-23,SKU001,0.0,56,6.0,255
2026-06-24,SKU001,112.0,0,6.0,255
2026-06-25,SKU001,59.0,123,6.0,255
2026-06-26,SKU001,0.0,167,6.0,255
2026-06-27,SKU001,0.0,69,6.0,255
2026-06-28,SKU001,0.0,104,6.0,255
2026-06-29,SKU001,0.0,67,6.0,255
2026-06-30,SKU001,0.0,0,6.0,255
2025-01-01,SKU002,161.0,45,7.0,107
2025-01-02,SKU002,161.0,20,7.0,107
2025-01-03,SKU002,161.0,46,7.0,107
2025-01-04,SKU002,161.0,77,7.0,107
2025-01-05,SKU002,161.0,84,7.0,107
2025-01-06,SKU002,161.0,11,7.0,107
2025-01-07,SKU002,247.0,0,7.0,107
2025-01-08,SKU002,247.0,35,7.0,107
2025-01-09,SKU002,247.0,65,7.0,107
2025-01-10,SKU002,247.0,68,7.0,107
2025-01-11,SKU002,247.0,80,7.0,107
2025-01-12,SKU002,247.0,42,7.0,107
2025-01-13,SKU002,247.0,69,7.0,107
2025-01-14,SKU002,310.0,0,7.0,107
2025-01-15,SKU002,310.0,36,7.0,107
2025-01-16,SKU002,310.0,74,7.0,107
2025-01-17,SKU002,310.0,79,7.0,107
2025-01-18,SKU002,310.0,54,7.0,107
2025-01-19,SKU002,310.0,74,7.0,107
2025-01-20,SKU002,310.0,59,7.0,107
2025-01-21,SKU002,361.0,0,7.0,107
2025-01-22,SKU002,335.0,58,7.0,107
2025-01-23,SKU002,317.0,64,7.0,107
2025-01-24,SKU002,284.0,13,7.0,107
2025-01-25,SKU002,257.0,18,7.0,107
2025-01-26,SKU002,228.0,42,7.0,107
2025-01-27,SKU002,201.0,71,7.0,107
2025-01-28,SKU002,191.0,0,7.0,107
2025-01-29,SKU002,168.0,12,7.0,107
2025-01-30,SKU002,137.0,27,7.0,107
2025-01-31,SKU002,113.0,77,7.0,107
2025-02-01,SKU002,86.0,79,7.0,107
2025-02-02,SKU002,41.0,33,7.0,107
2025-02-03,SKU002,17.0,63,7.0,107
